timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
3,-1,0,-2,-1,1,0,-1,-1,Right
7,1,0,0,-2,-1,-1,-2,2,Right
9,-2,-2,-1,-1,-2,0,-1,-2,Right
10,-1,5,-2,-2,-3,-3,-2,-1,Right
16,-1,-11,-1,0,-2,-1,2,0,Right
17,0,0,0,-2,-2,-2,-2,-1,Right
18,-1,-1,-1,-3,-1,-1,-1,-1,Right
19,-2,-1,-2,-2,-1,-1,-2,-4,Right
38,1,0,0,-1,1,-1,-2,-2,Right
40,1,2,-4,-1,-1,-1,-2,-3,Right
42,-1,-1,0,-2,-1,-1,0,-2,Right
43,-1,-7,1,1,2,0,-1,0,Right
62,-1,0,-2,-1,0,1,0,2,Right
63,-1,1,0,0,-1,0,-2,0,Right
64,0,0,-1,-1,-1,-1,-1,-3,Right
65,-2,-3,-3,0,0,-1,1,-2,Right
75,-1,0,-1,1,-1,-1,-3,0,Right
76,-2,-1,0,0,-2,0,0,0,Right
77,-2,1,-2,0,-1,-2,-1,-1,Right
77,-2,-2,-1,0,-1,-2,-2,-1,Right
98,-4,0,-2,-2,1,1,0,-2,Right
99,-1,0,-1,-3,-1,-2,1,-2,Right
101,0,1,-2,-3,-2,-2,-1,-3,Right
104,1,0,-1,-1,-1,-2,0,-1,Right
121,0,0,-2,-1,1,0,0,0,Right
122,-2,-3,-2,-1,0,-2,-1,0,Right
123,-1,-1,1,-1,-3,-1,-1,-4,Right
124,-2,-1,-3,-1,-1,-1,-2,1,Right
136,-1,1,0,-1,-2,-1,-1,-1,Right
137,-3,1,-2,0,0,-2,-1,-2,Right
137,0,-2,-3,-1,-1,0,0,1,Right
138,-4,-3,-1,-1,0,0,-3,-3,Right
157,0,0,-1,-2,-1,-3,-2,-3,Right
159,-2,-2,-1,0,0,1,-2,-7,Right
159,-7,-1,2,-1,0,0,2,-8,Right
160,4,-6,-9,-4,-4,-2,-3,10,Right
182,-2,1,0,6,0,1,0,2,Right
183,0,0,3,0,-1,-2,-5,-4,Right
184,-1,9,-6,-3,-8,-8,-8,-4,Right
185,-3,-1,4,0,-2,1,0,-3,Right
195,-3,-3,-3,-3,3,1,3,2,Right
197,1,-1,-2,-3,-9,-8,-8,0,Right
198,4,6,7,-9,-4,-5,-1,7,Right
198,0,-9,-8,-28,-20,7,8,-6,Right
219,-1,-3,15,68,49,10,-6,0,Right
220,-3,2,8,-9,1,-1,2,-4,Right
221,0,9,-7,-6,-1,-1,-4,4,Right
222,-1,-3,-4,-13,-16,-21,-14,-5,Right
241,2,5,-1,-25,-9,11,15,1,Right
242,-2,-11,-4,9,4,5,4,0,Right
243,1,1,0,3,7,8,1,-1,Right
243,-2,0,-3,0,-1,-6,-1,-1,Right
255,0,7,-6,-17,-20,-17,-10,-5,Right
256,-3,-10,3,0,-17,-12,-4,1,Right
256,-1,-7,1,11,35,25,7,1,Right
257,-2,2,1,14,6,2,0,-3,Right
278,2,2,-1,-21,-10,-2,-1,-1,Right
279,-1,4,1,19,-4,-4,-6,-2,Right
280,-2,-8,-9,-24,-5,-1,1,0,Right
281,-4,-1,13,34,15,2,6,-2,Right
303,1,-2,0,14,-9,-2,1,3,Right
304,1,0,-11,-17,-1,-3,0,4,Right
305,-1,-6,-5,1,-12,-1,2,-4,Right
306,-7,16,1,1,13,7,-2,-10,Right
314,3,-25,-7,-10,5,0,-2,5,Right
315,4,30,1,11,0,-1,-2,-3,Right
322,8,4,-6,-22,-24,-27,-5,8,Right
325,0,13,12,29,28,33,6,-4,Right
339,-6,-8,-7,-7,-13,-9,4,-7,Right
341,-4,-1,-2,-4,10,12,-1,-2,Right
343,-5,-7,-1,-3,-10,-11,-3,-8,Right
344,4,2,-9,-18,-15,-14,-3,16,Right
362,-2,-12,-3,-1,10,9,4,-3,Right
364,-2,-29,1,2,6,2,8,14,Right
366,-5,12,3,4,-7,2,-7,-26,Right
367,2,-2,-2,-11,-8,-9,-7,-2,Right
375,-1,-5,2,3,-1,4,-1,6,Right
377,-9,-1,-2,-11,-2,-2,1,-38,Right
382,7,-14,-3,9,-2,-4,2,49,Right
385,5,-9,0,-5,-11,-5,5,11,Right
398,-10,35,2,-5,-7,-6,-3,-16,Right
399,4,-57,-16,-7,4,-1,-4,12,Right
401,-11,-5,-3,8,3,-2,-7,-26,Right
403,5,21,1,-7,-5,-2,-4,-3,Right
422,-6,3,-1,-4,0,-4,-1,-3,Right
424,-15,12,8,2,-5,-1,-1,-44,Right
427,-1,-23,-4,1,0,1,-3,27,Right
428,14,-2,-3,-9,0,-6,-3,21,Right
434,22,11,7,-4,-8,-3,11,44,Right
436,-3,31,2,-1,-2,-2,-11,-12,Right
443,-31,-73,-12,-1,2,4,0,-63,Right
444,-1,23,-5,-1,-2,-1,5,0,Right
458,13,9,1,-2,-6,-8,-3,30,Right
460,7,3,3,12,20,10,8,33,Right
461,0,39,5,-7,-7,0,-1,-2,Right
463,-27,-36,-9,-3,-1,-4,-3,-35,Right
481,-4,-2,-3,-10,-28,-17,-15,-26,Right
482,3,-8,-15,-10,-12,-6,5,17,Right
483,-2,11,6,-1,16,3,-4,-25,Right
484,16,2,10,26,12,9,11,25,Right
504,-5,-5,-12,-10,-9,-5,-10,-27,Right
505,8,0,7,-6,-24,-25,-10,26,Right
506,1,6,-5,-13,17,27,13,2,Right
507,-9,29,-15,-44,-24,-11,-11,-17,Right
518,-6,-20,1,13,14,8,-13,0,Right
519,-4,4,12,37,10,2,4,-1,Right
520,4,-2,4,7,-16,-19,-9,8,Right
521,-5,-6,0,24,35,7,7,-2,Right
541,5,8,0,-44,-9,10,-2,5,Right
542,-10,5,15,-4,-8,-7,-13,-21,Right
543,11,6,0,29,13,-2,3,23,Right
543,-2,-18,-23,-82,-47,-15,-8,-6,Right
555,-4,-10,-34,-43,-11,-6,3,-12,Right
555,-4,1,50,96,42,15,0,-9,Right
563,10,8,-19,58,37,4,6,15,Right
564,-7,2,14,-52,-19,-6,-6,-13,Right
578,5,-2,0,-26,0,-2,6,13,Right
579,-1,-3,-49,-75,-19,-2,11,2,Right
582,-9,10,42,89,14,-6,-12,-11,Right
584,3,-5,-10,22,38,13,5,-13,Right
601,8,3,-18,-18,-25,-2,9,21,Right
603,3,9,29,2,9,11,18,15,Right
604,0,-1,-7,14,26,7,9,-4,Right
607,-18,-24,-2,57,6,-14,-17,-4,Right
624,-8,2,36,51,-19,2,31,-7,Right
626,13,1,-31,-73,-26,-10,3,9,Right
627,2,1,-22,-128,11,31,9,8,Right
628,-3,-2,38,91,52,13,15,8,Right
638,-10,-10,-21,-76,4,-11,-38,-18,Right
641,15,8,10,102,-1,5,14,-3,Right
642,-8,3,4,-71,4,-6,8,-13,Right
643,29,-5,-48,-96,-89,-17,-6,36,Right
662,-7,14,80,-9,60,13,0,-13,Right
663,-3,3,19,80,49,7,-15,-10,Right
666,5,-7,-33,-115,-75,-19,-2,8,Right
667,-16,2,21,25,3,-13,-16,-27,Right
684,8,2,12,73,65,28,15,2,Right
686,-2,-12,-14,-64,-47,-15,-34,-5,Right
688,2,-24,-28,105,5,3,37,3,Right
689,13,52,65,-54,-16,-5,-4,15,Right
699,-6,-4,-26,-6,1,-9,2,-17,Right
700,25,-7,-26,49,-10,-13,-74,-43,Right
701,-22,10,-24,-109,-3,-6,10,43,Right
703,-3,-48,-2,86,-33,0,13,-2,Right
721,-18,0,-30,-5,1,0,17,-26,Right
722,27,-14,-55,-99,-24,-3,1,39,Right
725,7,14,96,76,17,-13,-36,-34,Right
727,-21,-31,-26,108,73,16,13,20,Right
744,-9,29,-35,-80,-98,-25,-32,-16,Right
745,-58,-23,32,88,64,6,11,-19,Right
746,44,17,-5,-21,1,2,-6,21,Right
747,46,-28,-68,-103,-33,-12,-24,-8,Right
758,-38,-4,-12,11,-16,-1,21,15,Right
761,14,-29,-58,-128,-22,-7,4,-31,Right
763,31,4,-86,-15,-36,4,8,34,Right
764,-26,22,77,37,56,10,-26,-78,Right
781,-12,-21,-7,-97,-40,-1,2,18,Right
782,2,-12,18,73,9,6,27,33,Right
784,-4,-1,26,9,32,2,-17,-14,Right
785,-42,-31,-40,-104,-41,-16,-2,-14,Right
804,-3,-21,41,127,46,0,-27,-20,Right
805,-35,4,66,5,15,11,47,70,Right
807,-31,-12,25,-59,-36,-5,-1,-59,Right
807,60,82,-24,7,14,16,9,32,Right
819,-7,-12,18,-29,-1,-3,-3,-29,Right
820,-3,30,-47,42,-7,-12,-21,-26,Right
821,28,26,16,38,-6,6,4,44,Right
823,-15,-68,-51,-18,-2,4,18,-3,Right
841,3,-28,16,-10,-18,-15,-23,0,Right
842,0,2,79,-1,15,-5,0,-1,Right
843,-21,28,93,89,7,6,4,-8,Right
844,14,35,-7,92,49,7,-2,32,Right
864,40,-50,-56,-24,19,12,25,59,Right
866,-34,4,61,-100,-33,-4,-11,-49,Right
868,11,10,31,-30,-8,-12,-13,-18,Right
869,1,4,34,20,21,9,5,36,Right
878,-8,-21,38,17,10,-7,-14,-28,Right
879,26,62,-7,-32,-43,-1,5,18,Right
880,-71,-56,-71,-13,6,1,10,0,Right
881,19,42,-7,-105,-60,-13,-23,-8,Right
901,-6,8,-14,35,27,4,15,-11,Right
904,31,10,55,-25,-11,10,7,30,Right
907,-16,-18,38,83,22,-8,-18,-38,Right
907,-7,-40,-42,-45,-3,-1,20,9,Right
925,0,75,18,12,-1,-15,-20,14,Right
928,-1,-30,-45,-26,15,8,-10,-18,Right
929,6,-20,-31,-56,-35,-12,-2,-4,Right
930,3,-5,113,79,67,27,5,4,Right
937,-4,-42,-49,-69,-54,-4,6,0,Right
940,9,36,-16,103,23,-2,12,15,Right
943,13,-32,-67,-25,0,11,34,11,Right
944,-17,-34,2,-49,-33,-3,20,-11,Right
961,-10,-9,-16,19,16,-5,-16,-8,Right
962,11,35,-14,-14,-24,-1,-10,43,Right
963,-30,-1,-32,-31,-12,-1,-1,20,Right
965,13,28,-85,-45,-11,0,5,-10,Right
984,-9,-5,-9,113,29,11,5,-11,Right
985,-10,-36,13,-15,50,1,-6,-31,Right
988,5,11,-12,-6,-93,-36,-29,5,Right
989,-1,-2,-20,-29,-8,-12,-10,-8,Right
998,-4,-29,-5,-33,0,-2,-2,-7,Right
999,16,49,-5,-43,-11,2,8,29,Right
1000,1,-20,-5,1,39,19,1,-53,Right
1003,27,15,38,-23,-40,-11,-5,23,Right
1022,3,16,49,38,-2,1,-35,-51,Right
