timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
14,0,0,1,-1,-2,-1,-2,-1,Freeze
18,-1,0,0,-1,-1,-2,-3,-2,Freeze
19,-2,-5,-4,0,-1,-1,0,0,Freeze
21,-1,2,1,-1,-1,0,-1,-2,Freeze
27,0,-2,-1,1,-1,0,0,1,Freeze
28,-1,-3,-2,-2,-1,0,1,-2,Freeze
36,0,1,0,3,1,1,-2,0,Freeze
37,-2,-2,0,-2,-2,-1,-3,-1,Freeze
51,1,-1,-1,-1,-1,-1,-1,-1,Freeze
53,0,3,2,-3,-2,-1,0,-1,Freeze
54,-2,-2,1,-1,0,0,1,-2,Freeze
57,1,2,0,-2,0,0,-1,-3,Freeze
74,-1,0,-2,-1,-2,0,-1,-1,Freeze
75,-2,-4,11,-1,-3,-2,-2,0,Freeze
78,2,0,-12,0,-1,0,0,-1,Freeze
79,-1,-2,-2,0,-1,-1,1,0,Freeze
87,-2,3,3,-5,0,-3,0,0,Freeze
88,-3,-8,-13,3,0,-2,-2,-2,Freeze
96,0,1,12,-1,-1,-1,-2,1,Freeze
98,-3,-2,-3,-5,-1,-2,0,-2,Freeze
112,2,-2,-1,-1,-3,0,-1,0,Freeze
117,-3,-4,-3,-2,0,0,-2,-1,Freeze
118,-1,-3,-4,-2,0,0,-1,-1,Freeze
119,-2,-1,-4,-1,-1,0,-1,1,Freeze
133,-3,-6,4,-1,-1,-3,-2,-1,Freeze
135,1,3,-7,-22,-4,1,0,0,Freeze
137,-2,-2,0,16,-5,-6,-2,-3,Freeze
138,0,-5,-13,9,11,6,0,-1,Freeze
148,-1,1,4,-1,3,5,3,1,Freeze
149,0,-1,-3,10,1,-4,-2,-2,Freeze
156,0,-3,-6,-28,-3,0,0,1,Freeze
158,0,1,1,-15,-9,-5,-2,-1,Freeze
171,0,-2,3,35,5,-1,-1,-2,Freeze
173,0,3,-8,-18,2,3,1,0,Freeze
174,-2,0,-1,21,-6,-7,-2,0,Freeze
176,-3,-5,-4,-17,-12,-3,-1,-2,Freeze
