timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
11,-1,2,-4,-2,-3,-1,-3,-1,Backwards
16,0,0,0,-2,-1,0,-1,-1,Backwards
18,-2,0,-3,-1,-1,-1,-3,-1,Backwards
19,-1,-1,1,-1,-1,-3,0,0,Backwards
25,0,-2,0,0,-2,-3,-1,0,Backwards
27,0,-3,-1,-1,-1,0,-1,-2,Backwards
31,-2,-1,-2,-1,-3,-1,0,0,Backwards
32,-2,-1,1,0,0,0,-2,-1,Backwards
47,-1,-1,-1,-1,-2,-1,2,0,Backwards
49,-3,-3,-1,-1,0,-1,-1,-1,Backwards
50,1,1,0,-2,-2,1,0,-1,Backwards
52,-2,-2,-4,-2,-2,-1,-1,-2,Backwards
70,0,1,4,0,-2,-1,-2,-1,Backwards
72,-1,-1,-1,-1,-1,-1,-1,-2,Backwards
74,0,-2,-4,-1,-1,0,-2,0,Backwards
76,-1,-1,0,-1,-2,1,-1,-1,Backwards
84,1,-1,-4,-1,-1,0,-1,-1,Backwards
88,1,-1,-3,-2,0,0,0,-1,Backwards
89,-1,0,3,-2,-1,0,0,0,Backwards
92,0,1,-3,-1,0,-2,-1,-1,Backwards
108,-1,-3,-3,-1,-1,-1,-1,0,Backwards
114,-1,1,0,1,-1,-1,-1,0,Backwards
115,0,-1,-3,-1,-1,-4,-1,-1,Backwards
117,0,-2,1,-1,1,0,0,-1,Backwards
131,0,0,-2,0,-1,-2,-1,-1,Backwards
132,1,-2,-2,-2,-2,0,-1,-1,Backwards
134,0,-2,-2,-1,-1,0,-1,-1,Backwards
137,-1,4,14,1,0,0,0,0,Backwards
144,0,-2,0,-1,0,-1,-1,0,Backwards
146,-2,0,-4,-1,-2,-2,-1,0,Backwards
148,-1,0,-1,-1,1,-2,1,-3,Backwards
149,1,-1,-4,0,1,-2,-1,0,Backwards
168,-2,-1,-3,-2,0,-1,0,0,Backwards
169,-1,-1,1,-1,-1,-1,-1,-2,Backwards
171,-3,0,-1,-2,0,-2,0,-3,Backwards
173,-2,-1,-4,-2,-3,-2,-1,-1,Backwards
