timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
14,-1,0,1,-12,-3,1,2,1,Backwards
16,1,-3,-5,0,2,1,2,-1,Backwards
16,-4,0,0,-9,2,1,1,-2,Backwards
17,1,0,0,12,4,-6,-5,-1,Backwards
35,1,0,6,6,-7,-8,6,3,Backwards
37,-5,0,-3,-6,-4,6,-13,-11,Backwards
37,3,2,6,18,0,-8,8,10,Backwards
38,-2,-3,-11,-27,3,2,5,2,Backwards
58,2,0,6,9,10,8,3,2,Backwards
62,-4,-3,-7,-11,1,-3,-7,-1,Backwards
62,0,1,1,16,13,9,8,-1,Backwards
62,-2,-2,-1,-2,-26,-10,-5,-2,Backwards
73,-4,-1,4,-6,-5,-9,-12,-9,Backwards
73,0,-1,2,13,9,2,-8,0,Backwards
79,2,1,-1,-5,-18,-2,2,3,Backwards
79,3,2,8,14,26,14,-2,2,Backwards
97,3,-3,-5,-8,0,-2,10,5,Backwards
99,0,2,5,4,-12,-16,4,-1,Backwards
99,-6,-5,-11,1,25,12,-21,-12,Backwards
99,1,3,2,0,-23,-11,23,4,Backwards
118,-5,-1,1,-1,7,5,-15,-8,Backwards
123,-2,-1,-4,3,-5,-7,5,4,Backwards
124,0,-3,4,-2,0,-7,-13,-6,Backwards
124,1,-1,0,2,2,9,0,3,Backwards
132,-3,-2,3,0,0,-1,-3,-2,Backwards
132,0,-1,-4,-16,0,0,4,2,Backwards
139,0,-1,2,-2,-10,-5,2,0,Backwards
139,-3,-2,15,0,12,17,-9,-8,Backwards
156,0,-1,1,2,-18,-28,4,1,Backwards
160,-2,-2,0,0,6,8,-5,-1,Backwards
160,-2,-3,-6,-7,-19,-18,-1,-1,Backwards
160,-1,0,-3,2,-1,-9,-3,-1,Backwards
178,1,0,1,10,3,12,1,1,Backwards
180,0,-1,1,1,4,3,4,1,Backwards
180,-2,0,-2,0,9,25,1,-3,Backwards
180,-3,-4,-9,-7,-23,-34,-1,-2,Backwards
191,-2,0,0,-2,-3,4,-3,-1,Backwards
191,-1,-2,-2,-3,-4,-6,-2,-2,Backwards
201,0,-1,-4,-3,0,3,0,-1,Backwards
203,0,0,-2,0,7,5,-1,1,Backwards
216,-2,-2,-1,-2,-3,1,-1,-1,Backwards
218,0,-1,2,1,0,2,4,2,Backwards
219,-1,-2,-6,0,-2,-5,-1,1,Backwards
219,-5,-3,-5,-5,-2,3,-6,-4,Backwards
240,4,3,-1,2,2,1,3,7,Backwards
242,4,0,-1,1,1,4,3,-1,Backwards
242,-2,-2,0,-4,-6,-9,1,-6,Backwards
242,-6,-2,0,-8,1,-2,-5,-5,Backwards
251,-2,0,-15,7,5,6,0,-5,Backwards
251,-1,0,0,0,-1,0,1,-1,Backwards
261,0,2,14,-21,-5,-4,-3,1,Backwards
263,1,-2,0,4,3,4,-1,0,Backwards
276,0,0,4,-2,-1,-2,1,0,Backwards
279,-1,0,-17,-4,0,0,-1,1,Backwards
280,0,0,5,10,1,-2,1,-1,Backwards
280,-1,-3,41,-10,0,2,-4,0,Backwards
298,-1,-1,20,10,1,0,-1,-1,Backwards
302,0,-1,15,3,9,-2,0,-2,Backwards
302,-2,-5,5,-10,-21,1,4,4,Backwards
303,0,1,-2,2,12,-2,-5,-3,Backwards
311,-1,-4,-9,-1,-2,-1,-3,-2,Backwards
311,-2,0,8,1,-2,-2,1,-1,Backwards
321,-1,0,-1,3,3,-5,-4,-2,Backwards
321,1,-2,-2,23,23,1,-2,0,Backwards
336,-3,0,7,-14,-18,-2,1,-4,Backwards
339,-2,-4,-15,4,17,3,0,0,Backwards
340,-1,0,-11,-7,-12,-1,-2,-1,Backwards
341,0,-2,-17,-19,-42,-9,0,-3,Backwards
359,-2,-4,-13,-14,5,-1,-4,-4,Backwards
361,-2,-2,9,4,8,-2,0,-1,Backwards
362,-2,0,-4,-3,-21,-1,-3,-2,Backwards
362,-1,-2,-11,1,9,5,3,-1,Backwards
371,0,-1,0,-1,2,-1,-1,0,Backwards
371,-1,0,-6,-11,-15,-3,-1,1,Backwards
381,-2,-1,-2,3,6,0,1,1,Backwards
382,-2,0,-8,2,5,-1,-1,0,Backwards
395,-2,-2,-3,-15,-27,-6,-3,-2,Backwards
398,2,0,3,17,19,3,1,3,Backwards
398,-3,-5,-22,2,13,2,-2,-1,Backwards
398,-1,-1,2,1,-22,0,1,-2,Backwards
419,-1,-2,-5,6,48,0,-3,-3,Backwards
422,-4,-3,-4,-12,-34,-12,-5,-5,Backwards
422,1,0,2,12,5,0,3,3,Backwards
422,2,0,-8,-2,10,3,1,1,Backwards
431,-4,-2,2,-21,-14,-2,-5,-3,Backwards
432,3,0,-5,24,29,5,5,3,Backwards
441,-5,-5,-6,-19,-10,-10,-5,-6,Backwards
442,5,0,-1,5,-17,-2,0,2,Backwards
457,0,0,-1,0,-8,1,1,0,Backwards
459,0,0,1,-10,10,2,-2,0,Backwards
459,2,-1,6,12,-8,-1,2,0,Backwards
459,-1,-1,-7,-2,11,-1,-2,-1,Backwards
480,2,2,4,22,11,3,0,0,Backwards
482,-2,-1,-6,-22,-30,-4,-2,-2,Backwards
482,2,-1,3,14,25,4,4,3,Backwards
483,-2,1,3,12,16,-1,-3,-3,Backwards
491,-2,2,1,15,-2,-1,-1,-2,Backwards
493,-3,-4,-12,0,18,1,-3,-2,Backwards
502,0,1,-1,-12,-1,0,-1,-1,Backwards
503,-3,0,0,-11,7,0,-2,-2,Backwards
517,-1,-3,-3,-22,-33,-5,-1,0,Backwards
519,-1,0,5,21,16,0,-1,-3,Backwards
519,-3,0,-4,-15,-10,-2,-2,-3,Backwards
519,-2,0,-2,4,11,1,2,2,Backwards
539,0,1,1,23,23,4,2,0,Backwards
543,-3,-2,-2,-30,-35,-6,-3,-3,Backwards
543,4,5,9,10,14,2,1,2,Backwards
543,-3,-5,-9,-1,-5,-3,0,-3,Backwards
551,-1,0,0,-7,-8,0,-1,-2,Backwards
552,-1,0,11,7,-2,-3,-2,-3,Backwards
560,-1,-3,-2,-8,0,-3,-3,-3,Backwards
561,-1,-1,0,-13,-14,2,0,-1,Backwards
576,0,-1,-3,10,16,2,-1,-1,Backwards
580,-2,-1,0,0,-10,-3,-1,0,Backwards
580,-5,-5,13,-19,-10,-2,-5,-4,Backwards
581,-1,-1,-4,9,-3,-4,-1,-1,Backwards
598,-1,-1,-5,-14,-17,-1,-2,-1,Backwards
601,-3,-2,13,-3,5,-1,-2,-3,Backwards
602,1,0,-5,2,-4,0,1,1,Backwards
603,1,-3,-1,-2,2,-2,-3,-3,Backwards
613,3,-2,1,0,8,-3,0,2,Backwards
615,-1,0,-2,-6,-12,-3,-2,1,Backwards
621,-1,1,-10,7,19,1,-4,-2,Backwards
621,1,-1,-1,-12,-30,0,2,1,Backwards
637,-1,-1,-5,6,-3,-4,-1,-1,Backwards
638,1,2,10,-14,-6,1,2,0,Backwards
638,0,0,-7,6,2,0,0,-1,Backwards
639,-3,2,1,8,10,1,-4,-2,Backwards
659,-4,-3,-2,-9,-9,-4,-5,-3,Backwards
662,2,-1,-6,7,0,5,1,2,Backwards
662,0,2,1,7,-3,-5,9,5,Backwards
662,-2,-3,2,-7,-10,-9,-1,-3,Backwards
671,-1,2,2,-2,-3,-1,-3,-1,Backwards
671,1,0,-5,5,5,-1,-2,-2,Backwards
680,-1,-1,-8,-2,-4,2,-4,-1,Backwards
682,-7,-9,-5,-13,2,5,3,2,Backwards
696,18,21,13,10,4,6,7,6,Backwards
699,-8,-8,-7,-2,-1,-6,-5,-7,Backwards
700,12,9,9,-1,1,-1,2,4,Backwards
700,-6,-16,-26,5,-5,-5,1,-3,Backwards
718,30,18,17,11,10,0,-1,14,Backwards
721,-8,-11,-2,-6,2,4,-4,-13,Backwards
721,-9,24,25,8,2,16,-3,-5,Backwards
721,-5,13,49,10,2,-17,0,-2,Backwards
733,-19,-86,-110,-40,-9,-8,-6,-9,Backwards
734,-1,9,19,17,-6,5,5,5,Backwards
740,35,30,33,21,17,14,10,27,Backwards
743,53,41,38,24,7,1,24,29,Backwards
755,-70,-15,-15,-11,5,7,-7,-24,Backwards
758,-50,-20,-88,-8,-6,-6,-11,-30,Backwards
761,-1,-13,4,-18,-9,-7,-3,0,Backwards
761,-6,0,0,1,2,0,-25,-21,Backwards
779,-3,23,43,-9,-3,1,3,8,Backwards
781,67,21,-13,14,3,4,18,42,Backwards
782,-15,-8,-16,-12,-3,-3,-2,-17,Backwards
782,-8,-6,-27,-5,2,9,6,5,Backwards
791,17,3,-2,19,-4,-5,4,2,Backwards
792,-14,-6,14,-17,-4,-4,-9,-9,Backwards
801,27,6,28,-5,-5,-9,-1,8,Backwards
801,10,0,-8,1,-5,-3,-2,-2,Backwards
816,-18,-4,2,0,1,-3,-7,-14,Backwards
819,5,7,16,0,-1,1,1,5,Backwards
822,1,-14,-26,-2,-5,-6,-4,0,Backwards
822,-28,-14,-14,-14,-1,0,-5,-11,Backwards
839,-5,3,13,5,-2,-2,-2,-3,Backwards
843,17,5,10,2,1,-1,4,13,Backwards
843,-24,-13,-20,9,-2,-10,-9,-17,Backwards
843,-14,-9,-1,1,-20,-1,-6,-1,Backwards
851,17,3,14,11,27,5,2,2,Backwards
851,1,13,20,11,21,5,1,-1,Backwards
862,-13,-15,-17,14,-32,-10,3,4,Backwards
863,-3,-1,-17,-59,-34,-4,-5,-9,Backwards
875,11,-4,12,5,-39,1,1,3,Backwards
878,4,20,14,40,90,11,-1,-9,Backwards
881,-27,7,-18,-46,-30,-13,-6,-10,Backwards
882,-2,-51,-15,-4,-46,-9,0,7,Backwards
899,-1,0,-1,-32,51,-1,-2,-1,Backwards
902,-13,0,-3,-22,-22,-9,-6,-9,Backwards
903,17,-4,30,45,85,18,5,14,Backwards
903,11,33,21,-5,6,12,4,6,Backwards
912,-4,-25,-7,2,-50,-19,3,11,Backwards
913,-28,-7,-14,5,-17,-9,-14,-32,Backwards
921,20,16,5,31,27,3,-2,-5,Backwards
923,-22,16,9,60,78,10,-8,-8,Backwards
935,-15,-46,-14,-76,-39,-16,-5,-4,Backwards
939,7,-4,18,-22,3,-1,6,18,Backwards
941,-9,-8,10,13,-27,10,3,-2,Backwards
941,-4,-16,-3,22,54,3,1,-3,Backwards
961,20,37,14,69,100,30,9,8,Backwards
963,-2,-14,-1,-51,-77,-31,-3,-1,Backwards
964,-18,-22,-19,-56,-10,-6,-10,-12,Backwards
964,14,18,13,60,74,12,10,9,Backwards
982,2,14,-2,12,-30,-14,-4,-2,Backwards
985,0,-6,-4,-13,-3,4,-2,-1,Backwards
986,-3,-1,-3,-9,-18,5,0,1,Backwards
986,5,2,-5,-25,-34,-12,-2,0,Backwards
996,-1,11,6,34,20,2,-1,-6,Backwards
997,-3,-10,3,42,12,12,2,0,Backwards
1009,-3,-5,-24,-59,-48,-14,-5,-2,Backwards
1011,-5,-11,-17,-24,6,-4,-6,-5,Backwards
1017,-5,3,-2,-11,-15,-3,-5,-5,Backwards
1017,7,4,3,17,5,3,6,5,Backwards
1019,-2,0,16,32,57,3,0,1,Backwards
1019,-3,-7,-16,-53,-66,-9,-4,-3,Backwards
1041,2,8,3,-4,49,9,1,0,Backwards
1042,-4,-6,-15,-41,-47,-13,-4,-1,Backwards
1044,-4,-3,-2,33,41,2,2,-3,Backwards
