timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
0,1,-2,0,1,-1,-1,0,-1,Backwards
0,-2,0,-1,-1,-2,0,-1,1,Backwards
15,0,-1,0,-2,-1,-1,0,-1,Backwards
16,-1,-1,0,-1,-2,-1,-2,0,Backwards
32,-3,-2,-1,-2,-1,-2,-1,-1,Backwards
33,1,-1,-1,-1,-3,0,-2,-2,Backwards
33,-1,-2,-2,-1,-2,-3,0,-2,Backwards
33,-3,-3,0,-1,-2,-2,0,-1,Backwards
47,1,-1,-1,1,0,-2,-3,-1,Backwards
47,-1,-2,-3,-2,-2,-2,-1,-2,Backwards
47,-1,-2,-1,-1,-2,-1,0,1,Backwards
47,-1,-2,-1,-2,-2,-1,-1,-2,Backwards
63,0,0,-1,-2,-2,-1,0,0,Backwards
63,-1,-1,-1,-1,-2,0,-1,0,Backwards
63,-1,0,-3,0,-2,0,0,-1,Backwards
63,-1,-1,0,-2,2,0,-2,1,Backwards
79,-2,-1,0,-1,-2,-2,-2,-2,Backwards
94,-1,-1,1,4,0,-2,-1,-1,Backwards
94,-2,-1,-3,-11,2,6,1,-3,Backwards
94,-2,-4,-8,-8,-9,-9,-5,-3,Backwards
94,-2,0,2,14,5,-1,7,-2,Backwards
108,-2,-3,-10,-16,0,-3,-6,0,Backwards
110,-1,1,6,5,-4,1,1,-1,Backwards
110,5,10,18,14,42,12,8,4,Backwards
125,-8,-16,-38,-55,-62,-31,-10,-4,Backwards
125,1,2,0,4,-12,-4,-6,-2,Backwards
125,-3,-4,-3,9,9,-1,1,0,Backwards
125,11,11,24,8,-18,11,13,13,Backwards
142,-2,-4,9,20,8,2,3,0,Backwards
142,-7,-10,-19,-18,-8,-9,-8,-8,Backwards
157,-4,-1,1,4,23,-8,-1,-5,Backwards
158,-5,-3,2,16,1,-3,-2,-1,Backwards
158,9,3,-10,-12,-32,20,15,11,Backwards
158,2,3,1,-5,-2,-3,3,1,Backwards
158,-1,-3,-5,-1,-10,0,-19,-2,Backwards
173,-10,-2,9,38,72,12,2,-12,Backwards
190,-8,-6,-15,-36,-37,-20,-14,-9,Backwards
190,11,6,10,-5,-5,3,2,10,Backwards
190,-6,-7,-11,-33,-17,-12,-10,-9,Backwards
190,-10,-7,-7,-17,-41,-15,-14,-8,Backwards
205,1,1,2,36,63,7,-8,1,Backwards
205,-1,4,12,-3,15,5,5,-4,Backwards
205,-1,2,-2,15,-30,-25,-9,-3,Backwards
205,-4,-6,-10,-11,7,-8,6,-3,Backwards
221,7,5,18,28,15,45,20,13,Backwards
221,-1,1,1,36,32,-4,8,2,Backwards
221,0,-2,-11,-30,-22,21,-5,2,Backwards
236,0,-3,-10,-14,-8,-11,-35,-3,Backwards
236,-3,3,9,9,7,-18,4,-6,Backwards
252,-2,-1,6,-52,-13,13,2,1,Backwards
252,2,2,10,64,50,17,3,2,Backwards
252,2,6,1,-47,-16,27,-9,2,Backwards
268,-6,-11,-18,17,1,19,-20,-6,Backwards
274,-3,-1,0,56,40,33,-18,-5,Backwards
276,-5,-1,1,-30,-47,-1,-7,-8,Backwards
276,5,1,0,44,-2,3,12,3,Backwards
283,8,10,21,36,27,8,13,5,Backwards
283,-3,-3,-7,-9,-63,-28,3,-6,Backwards
283,-4,-5,-5,8,20,-13,8,0,Backwards
283,3,12,18,-34,-25,-16,9,4,Backwards
300,-2,56,24,-41,-4,-26,0,-4,Backwards
310,-1,30,25,-20,-5,-13,-5,-6,Backwards
310,6,8,14,-6,7,-2,7,4,Backwards
315,-1,-28,-27,-12,-12,-13,-2,-7,Backwards
331,-3,-43,-32,-9,13,-15,-9,-8,Backwards
331,-2,-28,-21,13,13,-12,-17,-2,Backwards
331,0,-19,-14,0,4,-4,25,6,Backwards
331,2,-21,-26,6,7,11,21,16,Backwards
347,1,-11,-2,5,-4,9,29,7,Backwards
