timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
6,0,-2,-7,-5,9,13,16,6,Left
7,1,2,9,5,2,6,2,2,Left
7,-3,-4,-18,-11,-5,-2,-5,-2,Left
7,-3,-3,3,-9,-8,-6,-10,-9,Left
21,-4,-3,1,10,-2,-5,-8,-2,Left
22,-4,-3,-7,-4,-8,-18,-10,-5,Left
28,-2,-3,-6,-13,6,0,-6,1,Left
29,-1,-2,-31,6,-10,9,7,4,Left
44,-2,-1,-1,-8,14,-5,1,-4,Left
46,1,0,0,-1,5,0,1,0,Left
47,-2,-2,0,0,-16,0,-1,-1,Left
47,-2,-1,-1,-5,-11,4,6,-1,Left
69,-3,-5,-17,-1,42,2,-5,-6,Left
69,1,0,16,5,-34,-5,-1,1,Left
70,-5,3,11,-9,13,4,-3,0,Left
70,6,-2,-32,11,-36,1,6,5,Left
90,-9,-19,-3,4,25,11,5,0,Left
92,-6,10,20,-43,-11,-4,-10,-6,Left
93,4,-13,-5,5,40,6,6,2,Left
93,16,15,-46,-16,8,-11,-7,-4,Left
104,-8,-3,20,-12,-26,-4,-5,-2,Left
105,0,-2,13,40,-43,0,4,0,Left
106,-17,-2,-9,-59,92,-2,-14,-14,Left
106,-3,-14,30,23,4,0,2,2,Left
127,7,-6,-14,-6,-28,-3,2,-1,Left
130,-15,-4,10,-49,-4,-14,-9,-6,Left
130,7,1,-2,4,-62,-12,-2,3,Left
130,-9,7,45,1,19,5,-2,-6,Left
150,5,-2,-29,27,10,-3,0,0,Left
153,-4,-14,-12,16,1,2,2,1,Left
153,7,3,-17,13,-15,1,4,7,Left
154,-5,14,5,-16,-13,-6,-7,-7,Left
162,-7,-4,24,-4,-44,0,5,1,Left
164,1,-10,-28,-7,20,-1,-2,0,Left
164,15,20,18,20,6,7,7,5,Left
164,-9,-11,-9,-3,15,-6,-7,-7,Left
186,5,8,1,-20,9,-7,-4,-1,Left
189,3,-4,-4,20,39,7,-1,-1,Left
189,-6,-3,-10,-5,-2,-3,-2,-2,Left
190,-8,-7,16,-2,-20,-9,-5,-5,Left
210,7,8,-4,5,1,3,8,8,Left
212,1,1,-1,1,-4,0,-2,0,Left
213,1,-6,6,6,-12,-2,2,9,Left
213,-2,-4,-9,5,32,6,-2,-10,Left
223,-7,-3,1,-15,-20,-7,-6,-6,Left
223,3,8,1,4,1,0,4,1,Left
