timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
0,0,-1,0,-3,4,-3,-2,2,Non
3,1,0,0,9,11,7,5,2,Non
7,1,-1,-2,2,-8,-2,3,1,Non
7,-1,-3,-4,-7,5,-1,-2,-2,Non
8,-1,0,2,5,7,-1,-3,-3,Non
8,0,-2,-2,-6,-10,-4,-1,-1,Non
38,-6,-2,-3,-3,1,-5,-5,-2,Non
43,-2,-1,-2,-8,-6,-1,0,-2,Non
44,-1,0,-1,1,34,6,0,1,Non
45,-1,-1,-1,0,-12,-2,-1,-1,Non
45,0,-1,0,2,-4,-1,-1,0,Non
46,1,0,0,3,6,1,-2,0,Non
46,-2,0,-1,-1,-12,0,-1,-3,Non
46,-4,0,-2,-6,-3,-4,-7,-6,Non
49,-2,-3,-2,-7,-1,-1,1,2,Non
49,1,-1,1,10,17,3,2,4,Non
58,-1,-3,-3,-7,-14,-1,-2,0,Non
59,1,0,-1,6,9,0,5,0,Non
60,-2,-1,-1,-2,-10,1,-5,-4,Non
60,-2,-2,-2,-7,11,-4,0,-1,Non
83,-3,0,1,5,-1,-2,-4,-3,Non
84,-1,0,-1,-3,-3,1,1,2,Non
87,1,0,-1,-2,-4,-4,-2,-2,Non
89,0,0,0,-9,-8,-2,-2,2,Non
96,-1,0,1,8,8,-1,5,0,Non
96,-1,-2,-1,2,4,-2,-4,-2,Non
97,0,-1,-1,-4,9,1,3,1,Non
97,0,0,0,6,-5,1,2,-3,Non
127,-1,-1,-1,-7,-20,-8,-3,-2,Non
132,-2,-2,-3,-5,-10,1,-4,-4,Non
144,-2,0,2,7,15,3,0,-2,Non
146,-2,-3,0,5,28,0,1,-2,Non
147,-1,-2,-4,-3,3,-2,1,-2,Non
147,1,0,0,1,0,-3,-3,-1,Non
147,-1,-2,-1,-5,-16,1,0,1,Non
148,0,0,1,3,2,-1,0,-3,Non
155,-2,0,-1,0,10,0,-4,-3,Non
155,3,-2,0,-2,-28,0,3,3,Non
189,-2,-2,1,3,6,-6,0,-2,Non
191,-1,-2,-3,-9,-4,-3,-3,1,Non
