timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
5,-1,-1,1,10,0,1,0,-1,Backwards
7,-2,-1,-2,-5,-4,-3,1,0,Backwards
7,0,-1,-2,-6,-1,-1,-1,3,Backwards
8,0,-2,0,0,-1,-1,0,-1,Backwards
31,-1,0,0,2,-1,-4,-3,-1,Backwards
32,0,-1,-1,1,1,0,1,2,Backwards
33,0,-1,-1,-2,-3,-2,-6,-2,Backwards
33,0,-1,0,5,-3,-1,1,0,Backwards
53,1,-1,0,3,3,6,2,1,Backwards
54,-4,-2,-4,-19,-9,-8,-5,-3,Backwards
54,-4,-1,0,7,18,20,-12,-5,Backwards
54,4,1,2,-6,-8,-8,21,8,Backwards
66,-3,-5,-12,-25,-3,-1,-4,-2,Backwards
66,-1,-1,-1,15,24,9,1,-5,Backwards
67,0,0,2,-6,-28,-18,2,1,Backwards
67,-3,-1,-2,-8,11,15,-10,-7,Backwards
89,-1,1,5,24,2,-14,4,-2,Backwards
92,1,-1,1,2,21,22,-11,-3,Backwards
93,-3,-3,-5,-17,-66,-42,11,7,Backwards
93,-4,-2,-22,-3,26,17,-11,-4,Backwards
113,-2,-2,-1,4,-15,3,-7,-4,Backwards
114,-3,-3,-6,-15,10,-5,-6,-4,Backwards
115,-1,0,0,-3,3,-3,1,-2,Backwards
115,0,-1,0,1,-18,-25,6,5,Backwards
125,-1,0,-2,-5,-4,-8,-5,1,Backwards
125,4,4,3,5,-37,-38,10,2,Backwards
125,0,-3,-11,-13,-9,13,-10,-5,Backwards
127,-17,-4,0,7,4,-15,-6,-5,Backwards
150,3,-1,3,2,27,31,-6,-1,Backwards
153,-2,-1,4,1,-7,-4,1,-2,Backwards
154,-1,-1,3,5,16,8,0,0,Backwards
155,3,2,5,0,7,15,-6,1,Backwards
173,1,-1,1,1,-6,-18,5,3,Backwards
175,-3,-2,-2,1,6,12,-3,1,Backwards
176,-1,-1,-2,3,3,6,3,0,Backwards
176,2,2,0,-5,-6,-11,2,0,Backwards
187,0,1,-2,-6,-5,-6,12,3,Backwards
188,-2,-2,-4,1,2,24,-14,-4,Backwards
188,-3,-2,-1,0,12,-21,-1,-2,Backwards
188,0,0,2,-1,-10,-18,-2,0,Backwards
211,-1,-2,-4,-7,-1,0,-1,-1,Backwards
212,-2,2,2,1,-4,8,-2,0,Backwards
212,0,1,2,21,29,27,1,3,Backwards
213,0,0,0,-13,-17,-3,-3,-1,Backwards
231,-3,-1,-3,0,-2,4,1,-2,Backwards
234,-1,-1,-1,2,7,-2,-1,0,Backwards
234,1,0,-3,-7,-9,1,7,1,Backwards
234,0,-4,-1,3,0,3,-2,-2,Backwards
263,-2,1,4,0,-3,-3,-5,-2,Backwards
265,-2,-2,-2,5,-9,-11,1,0,Backwards
266,-2,-1,0,0,4,4,0,1,Backwards
266,3,3,18,4,4,8,0,-1,Backwards
269,-3,-2,-2,1,13,2,-3,0,Backwards
270,-2,-1,-3,-9,-19,-15,2,0,Backwards
270,1,-1,6,-7,-22,-6,-4,-2,Backwards
270,-2,-2,-6,-3,-3,-1,0,-1,Backwards
293,-1,-1,-2,-1,-6,0,-1,-3,Backwards
295,0,-1,0,-1,8,-2,4,1,Backwards
295,0,1,10,9,13,0,-5,-4,Backwards
295,-1,-3,-6,-15,-8,2,-3,-2,Backwards
305,0,-2,-16,7,3,-4,0,1,Backwards
305,-1,-1,1,-11,-11,-2,0,0,Backwards
314,-1,-2,-5,-6,-1,-4,0,1,Backwards
316,-1,-3,-23,-5,-4,0,-2,0,Backwards
328,-3,-3,-12,-25,-14,1,-3,-4,Backwards
330,0,1,8,10,-5,-3,1,1,Backwards
330,-2,0,0,1,9,2,-2,-3,Backwards
330,0,-1,5,5,6,0,-2,-1,Backwards
352,-1,3,1,16,36,7,-1,-2,Backwards
354,-2,-2,-9,-31,-46,-13,-3,-2,Backwards
354,0,-2,-10,14,1,-3,1,1,Backwards
355,-1,-1,-14,6,0,3,1,1,Backwards
365,2,2,-1,0,-6,-2,-2,0,Backwards
367,1,1,-11,11,16,3,0,-2,Backwards
374,-3,-4,2,-9,0,-4,-3,-1,Backwards
375,-3,-2,4,-7,-13,0,-3,-3,Backwards
390,-1,-3,1,-1,-8,0,1,0,Backwards
391,-2,-2,3,7,9,1,1,0,Backwards
392,0,2,-5,-2,-4,-2,-1,-1,Backwards
392,-1,4,5,-2,2,1,-1,-1,Backwards
412,-1,-2,7,-12,-10,-6,-3,-3,Backwards
415,-4,-5,-6,9,10,-1,0,-2,Backwards
415,1,2,1,15,18,7,3,2,Backwards
416,-2,-3,-4,-12,-15,-6,-3,0,Backwards
425,-2,-1,3,-7,-15,-1,0,-2,Backwards
425,1,5,3,6,13,0,1,1,Backwards
433,-1,-6,-3,7,9,-3,-3,-2,Backwards
433,-2,-2,-1,0,-15,-1,1,-1,Backwards
449,-1,-3,-1,6,4,0,1,0,Backwards
451,-2,-4,-5,7,11,0,-4,-3,Backwards
451,0,2,-1,2,24,3,-1,-2,Backwards
452,-1,-1,1,-2,-8,-3,-3,-2,Backwards
472,-1,-1,-1,-12,-33,-6,0,0,Backwards
475,0,-2,1,-8,14,4,2,3,Backwards
477,0,6,7,-10,-44,-6,-3,-3,Backwards
478,-2,-5,-4,1,2,2,0,-2,Backwards
485,-1,1,3,13,22,-4,-3,-1,Backwards
485,1,2,-2,-11,-10,-1,0,-1,Backwards
493,1,0,1,14,7,0,0,2,Backwards
494,-3,-1,1,5,9,0,-2,-3,Backwards
511,-3,-2,-2,-8,-7,-3,1,1,Backwards
512,1,-2,1,4,-2,1,1,2,Backwards
513,-4,-5,-5,1,16,-3,-3,-4,Backwards
513,0,-1,2,-19,-15,-6,-3,-3,Backwards
533,-1,-2,1,12,40,3,-2,-2,Backwards
535,-4,-1,-4,-20,-46,-8,-2,-2,Backwards
535,1,0,0,3,16,4,-1,-1,Backwards
