timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
2,1,-2,-1,4,3,2,1,-2,Switch
4,0,-2,0,-2,-1,0,1,0,Switch
4,-2,0,-1,-6,-1,-1,0,-2,Switch
4,0,1,2,11,0,1,-2,-2,Switch
15,-5,-2,-4,-13,-4,-3,-3,-3,Switch
17,-2,-1,-1,5,-1,0,-1,0,Switch
24,-2,-1,1,-10,-3,-4,-6,-6,Switch
24,1,0,6,23,6,2,5,6,Switch
40,-3,-1,-5,-19,-4,4,1,-2,Switch
42,-1,-3,-9,-10,-9,-7,0,-1,Switch
43,-1,-1,-1,-9,-1,1,0,1,Switch
43,-1,-1,1,-5,-1,0,-1,-5,Switch
64,-2,-3,-4,0,-5,-7,-2,0,Switch
67,4,0,4,-2,4,6,3,4,Switch
68,-1,1,-1,13,1,-1,-4,-2,Switch
68,-1,-1,-1,-8,0,1,0,0,Switch
75,0,2,-1,7,-2,-1,0,-3,Switch
76,-3,-2,0,-15,-10,-7,-2,-2,Switch
83,-1,-1,-3,-2,2,0,-1,2,Switch
83,-1,-2,-1,-15,-6,0,-2,-2,Switch
100,-1,-2,-2,9,1,-5,-5,-3,Switch
104,0,1,6,16,-2,-2,-4,0,Switch
105,2,0,1,9,12,0,1,1,Switch
105,1,1,1,-10,-1,5,5,0,Switch
123,0,-4,-4,6,2,7,-3,0,Switch
125,-2,-1,-4,-4,-7,-12,-4,-3,Switch
125,-2,-2,3,13,3,4,-4,1,Switch
126,-2,-3,-4,-5,4,7,1,-3,Switch
135,3,1,2,-6,-14,-12,4,6,Switch
135,-2,-1,1,8,-1,-4,-8,-6,Switch
144,-1,-2,-2,-19,-1,2,3,-2,Switch
144,-1,0,2,10,-5,-10,-6,-4,Switch
160,0,1,1,5,9,9,5,1,Switch
164,-3,-2,-8,-10,0,4,-2,-2,Switch
164,-2,-3,-5,-4,-8,-10,-2,-2,Switch
164,-1,-4,-6,-10,-1,3,-3,-3,Switch
182,3,0,1,1,7,5,4,3,Switch
184,-3,-3,-1,6,-1,-4,-3,-2,Switch
184,0,-1,-3,3,10,8,0,-3,Switch
