timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
6,0,-2,0,-1,-1,-1,1,-1,Freeze
10,-2,-2,-3,-2,0,0,1,-1,Freeze
11,0,-1,2,-1,0,-1,-1,-1,Freeze
12,-2,1,1,0,-1,0,-1,-1,Freeze
28,0,0,-2,-2,-2,-1,0,-1,Freeze
29,-1,-4,2,-1,-1,0,-3,-2,Freeze
30,-1,-2,-3,-1,-1,-2,-1,0,Freeze
31,0,-4,-4,0,-1,0,0,0,Freeze
43,-1,-1,4,1,0,-1,-3,0,Freeze
46,-1,3,-8,-3,-1,-1,-1,-1,Freeze
51,-2,1,3,0,-1,-1,0,-1,Freeze
52,-1,-2,-3,1,-1,-1,1,-1,Freeze
66,-2,-6,2,0,-1,-1,0,-1,Freeze
68,-1,-3,-3,0,-1,-2,-2,0,Freeze
71,0,3,2,-1,-2,-1,-2,1,Freeze
72,-1,-3,-2,-3,-2,-3,-1,-3,Freeze
89,-1,0,-2,-2,0,0,0,-1,Freeze
90,0,-1,-3,-1,-1,-1,-1,-1,Freeze
92,1,-4,0,-1,-1,-2,-1,0,Freeze
93,-1,-2,6,-2,0,-1,1,-2,Freeze
103,0,-1,-14,-2,-1,0,0,0,Freeze
107,-2,-4,2,0,-2,-2,-2,-3,Freeze
111,-2,-1,-3,1,-2,-3,-2,0,Freeze
113,0,0,3,0,-1,0,-1,-2,Freeze
126,-1,-2,-1,0,-2,-3,-1,0,Freeze
128,-1,1,-4,0,0,-3,0,-1,Freeze
129,-2,-5,-2,-3,-3,-1,-2,-2,Freeze
130,-2,-3,-6,-1,-1,-1,-3,-1,Freeze
148,0,2,7,-2,0,-1,-1,-3,Freeze
151,-1,-3,-10,-2,0,0,-2,0,Freeze
153,-1,-3,-6,-2,-2,-1,0,-2,Freeze
154,0,4,8,1,-1,-1,-1,1,Freeze
163,0,-2,-4,-1,-2,-1,-1,-3,Freeze
165,1,2,2,-1,-2,-1,-2,-2,Freeze
171,-4,-12,-21,-6,0,-1,-1,-3,Freeze
174,-2,0,-3,-1,-1,-1,-3,0,Freeze
186,-3,1,-1,-2,-2,0,0,-1,Freeze
187,0,0,2,-1,0,-2,0,1,Freeze
187,-1,2,6,1,-1,0,-1,-1,Freeze
190,0,-1,-2,-1,-1,-3,0,-1,Freeze
208,-2,-8,3,0,-1,-1,-4,0,Freeze
210,-2,1,1,0,-2,1,1,-1,Freeze
213,-1,0,2,-1,0,-1,0,-2,Freeze
213,0,2,2,-1,-1,-2,0,-1,Freeze
223,-1,1,5,0,0,-1,-2,-1,Freeze
226,-1,-5,-4,0,-2,-1,-1,1,Freeze
231,-1,1,5,2,1,0,-2,1,Freeze
232,-1,-1,-6,-2,0,0,0,0,Freeze
246,-1,4,5,0,-2,-1,-1,-1,Freeze
247,0,0,-6,-3,-2,-1,-2,-1,Freeze
249,0,4,1,0,-2,-3,0,-1,Freeze
251,-2,-4,-2,3,0,-2,-2,0,Freeze
268,0,-2,-6,-2,0,-1,-1,-1,Freeze
271,-1,-2,0,-1,0,0,-1,-2,Freeze
272,0,-2,-1,-2,0,1,1,0,Freeze
275,0,-1,-2,-1,-2,0,1,-2,Freeze
283,0,-2,-3,-3,-2,-2,0,0,Freeze
286,-2,3,4,0,0,-1,-1,-1,Freeze
291,0,-1,1,-1,-1,-2,0,-3,Freeze
292,-1,-1,0,-3,0,-1,-2,-1,Freeze
306,-2,-11,-20,-6,-2,0,-1,-2,Freeze
309,0,0,2,-2,-1,-2,-1,-1,Freeze
310,1,1,0,0,-2,-2,-2,-1,Freeze
311,-2,2,-3,-1,-1,-1,-3,-3,Freeze
328,-2,-5,2,0,-1,0,-1,-2,Freeze
329,-2,-5,2,-1,0,1,-1,-1,Freeze
331,-1,3,0,-1,-2,1,0,-1,Freeze
332,0,-1,-3,0,0,-2,0,-1,Freeze
343,-1,5,3,1,-1,-1,-1,0,Freeze
345,-3,-8,-8,-4,-2,-2,-2,-2,Freeze
351,-1,-2,1,0,-1,-2,-1,-2,Freeze
352,-2,-1,0,-4,-3,-1,-2,0,Freeze
366,0,-1,3,5,0,-1,-1,-3,Freeze
367,-1,5,9,1,0,-2,0,0,Freeze
369,0,-3,-2,0,0,0,0,-1,Freeze
372,-2,-3,-8,-2,-3,-2,-2,-1,Freeze
388,0,6,5,-1,-2,-1,-2,-2,Freeze
391,-1,1,-8,-1,-2,0,0,0,Freeze
392,0,0,1,1,0,1,0,-1,Freeze
395,-1,-2,2,-1,0,1,1,-2,Freeze
412,1,1,1,-2,-1,-1,-1,-1,Freeze
413,0,-6,0,-1,0,-1,-2,-2,Freeze
415,0,1,0,3,0,-3,-4,-1,Freeze
416,-1,-3,-1,0,-1,-1,-2,-1,Freeze
426,-3,-3,-10,-3,-2,0,-3,0,Freeze
427,0,13,5,2,0,-3,-2,-1,Freeze
429,-2,-3,3,-1,-1,0,1,0,Freeze
430,-1,-2,-1,-1,-1,1,-1,0,Freeze
448,0,-2,-9,-5,-1,-3,0,-1,Freeze
450,0,0,1,0,-1,-1,-2,0,Freeze
451,-1,0,-1,-1,-2,-2,-2,-1,Freeze
454,0,0,2,0,1,-1,-1,0,Freeze
463,0,1,4,2,-1,0,0,0,Freeze
464,0,-1,1,1,-1,-2,0,1,Freeze
471,-1,-2,-5,-3,-2,-1,-1,-1,Freeze
474,-1,-4,0,-1,-1,-3,-2,-1,Freeze
486,0,5,6,-6,-1,-1,-2,0,Freeze
488,0,-6,-6,1,0,-1,2,-1,Freeze
490,-4,-5,0,-8,-3,0,-1,-1,Freeze
491,0,-1,-4,2,0,1,-1,-2,Freeze
508,-2,7,7,14,-3,-2,-2,1,Freeze
511,-3,-5,-6,-13,-4,1,-2,0,Freeze
512,1,-1,-3,14,10,2,0,0,Freeze
513,-1,-3,-7,-13,-4,-1,-1,-1,Freeze
523,-4,-14,4,-16,-7,-4,-3,-3,Freeze
526,-5,-9,-19,16,-8,-7,-3,-2,Freeze
531,3,4,-2,-5,-2,-1,0,0,Freeze
532,-2,-6,-8,-9,5,5,0,0,Freeze
546,2,4,2,6,2,0,-1,0,Freeze
548,-2,-1,8,19,-1,-1,-1,-1,Freeze
550,-2,-8,-5,-10,-5,1,0,-1,Freeze
551,-3,-1,7,-7,-29,-14,-2,-1,Freeze
569,-3,-2,-12,-23,-2,-5,-5,-4,Freeze
570,2,3,2,-22,23,11,4,2,Freeze
572,-2,2,7,28,3,6,3,-1,Freeze
573,5,10,9,-8,-11,-15,-8,-2,Freeze
583,-3,-7,-24,-29,-23,-13,-7,-3,Freeze
586,-5,-6,4,-75,-62,-35,-13,-6,Freeze
591,-1,5,23,67,75,61,19,6,Freeze
592,-1,0,-24,48,56,15,2,1,Freeze
605,-2,-6,26,52,-18,-15,-1,-3,Freeze
608,2,3,-15,-56,16,-15,-5,-1,Freeze
