timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
4,-1,0,-10,-6,-1,-1,-1,1,Left
9,2,-7,4,-1,-1,0,-1,1,Left
14,-8,-2,-10,-1,-2,-1,-1,-3,Left
15,1,0,-3,-3,-2,0,-1,-1,Left
24,-1,-4,5,1,-1,0,-2,-2,Left
26,-2,-2,-13,-1,1,-1,-1,0,Left
28,4,-1,11,-1,0,0,1,1,Left
30,1,-7,-5,-3,-3,-2,-1,-2,Left
38,-2,3,9,1,-1,-1,-1,0,Left
41,1,-3,-5,-1,1,-1,0,0,Left
46,-2,-1,2,-3,-1,-2,-1,-2,Left
49,-3,3,3,-1,1,0,1,-1,Left
61,0,-1,-3,1,2,0,-2,-1,Left
64,-2,1,12,-2,-2,-2,-1,-1,Left
66,-2,0,3,-1,1,-1,-1,-1,Left
68,-1,1,-16,-5,-1,0,0,0,Left
84,2,-3,2,-2,-4,-1,-1,-1,Left
87,-10,-3,-6,-3,-3,-2,-1,-2,Left
89,-3,-4,0,2,-1,-2,-2,-1,Left
93,2,-1,-9,-1,-1,-1,-2,0,Left
98,0,-1,-5,1,0,0,-1,-1,Left
100,4,-3,26,1,-1,0,2,0,Left
107,-4,7,-65,-8,-4,-3,-2,-2,Left
110,-3,-4,2,0,-2,0,-1,0,Left
121,-3,0,0,-1,0,-1,0,-2,Left
124,1,1,-10,1,-1,1,-2,-2,Left
126,-1,-3,33,0,0,0,-1,0,Left
127,-3,-3,-7,2,-2,-1,-3,1,Left
145,-3,1,3,-2,-1,-1,-1,-1,Left
147,-1,5,-4,-1,0,-2,-2,-1,Left
149,4,-1,-3,-3,-1,-2,-3,-3,Left
151,3,1,0,-2,-1,-1,0,0,Left
158,-10,-4,-2,0,-3,-3,-2,-1,Left
161,0,0,11,-1,-2,-1,-2,-2,Left
166,3,-2,-23,0,0,-2,1,-2,Left
169,2,-4,-12,-2,-1,-1,1,-1,Left
182,2,-1,1,-3,0,-1,-1,0,Left
184,0,0,1,-3,-1,-2,-2,-2,Left
185,-4,-1,15,1,-2,-1,-1,-2,Left
187,-2,0,-5,-2,-1,0,0,-1,Left
204,-1,-2,14,2,0,1,0,-1,Left
207,-2,1,-12,-4,-2,-2,0,-1,Left
210,1,-6,12,3,0,1,1,2,Left
213,-3,-2,16,1,1,-1,-1,-1,Left
217,-1,1,2,-4,-1,-4,-2,-3,Left
220,2,-1,-18,-4,-3,0,-3,-1,Left
226,-1,-3,4,0,0,1,1,0,Left
230,-2,3,7,-4,-2,-1,0,0,Left
242,2,2,2,-6,-2,0,0,1,Left
243,-1,-6,-12,7,2,-3,-2,1,Left
247,-3,-1,0,-1,-3,-4,-4,-4,Left
248,-2,-2,-13,1,-3,4,-2,-1,Left
264,2,2,19,9,-4,-3,0,-2,Left
266,-2,0,-9,-9,13,-3,0,-4,Left
268,1,0,11,2,-6,2,-2,1,Left
270,0,-1,-16,11,7,-1,-2,-1,Left
278,-2,0,-10,-15,9,2,2,0,Left
282,-1,1,20,15,-20,-5,-6,-4,Left
286,-1,1,-5,-26,-21,-4,0,2,Left
288,0,-2,-27,-19,15,4,4,0,Left
300,-4,-6,2,19,7,3,-1,-1,Left
302,0,2,2,12,15,-1,1,1,Left
315,-1,-3,-3,-21,-22,-2,-1,-2,Left
317,1,5,21,-15,-46,-10,-5,-3,Left
324,-1,-2,-14,3,7,7,3,-2,Left
325,1,2,59,22,10,3,2,4,Left
329,-1,1,21,-1,18,2,-1,0,Left
331,-2,-2,-7,-5,7,-5,1,0,Left
346,0,2,-17,-9,-1,-7,-7,-4,Left
348,1,-1,14,-6,-26,-2,0,2,Left
351,-3,-3,-11,26,9,1,2,-2,Left
355,1,1,16,5,-5,3,3,1,Left
361,-2,-4,-3,-9,13,-5,-6,-2,Left
364,0,1,-4,-2,-6,6,4,-1,Left
367,-2,-8,-14,-30,-7,-8,-6,-4,Left
369,-2,-1,-28,7,21,2,-1,0,Left
384,-1,-1,13,20,-3,0,3,1,Left
387,-2,-4,-35,-37,-16,3,-2,-3,Left
389,2,5,28,37,6,0,-1,1,Left
394,-2,-3,5,-4,-9,-5,-5,-2,Left
407,4,8,6,-2,2,4,1,2,Left
409,-3,-6,0,0,9,-4,-7,-1,Left
412,0,1,3,28,11,0,1,-1,Left
414,-4,-3,7,-2,-8,-4,-3,-3,Left
421,-4,-1,-5,-10,-4,1,0,-2,Left
424,-3,-4,-8,-3,-4,-2,-3,-5,Left
