timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
16,-2,-1,0,0,-3,-2,-3,-1,Right
20,-2,0,-1,1,-2,-2,-1,-1,Right
20,-1,-1,0,-2,-1,-2,-2,-1,Right
20,0,-1,3,-1,-2,-1,0,0,Right
31,-2,-1,-3,-1,-2,-1,-1,0,Right
31,-2,0,-1,-1,1,-1,-2,-1,Right
36,0,-1,-3,1,-2,-1,-2,-1,Right
37,-2,-1,-1,-2,-1,-2,-1,1,Right
47,0,-1,1,0,-1,-1,-1,-2,Right
57,-1,-2,0,-1,-1,-2,-2,-2,Right
57,-1,-1,-2,-2,-2,0,-1,0,Right
57,-1,-1,0,0,-1,0,-2,-2,Right
64,0,-1,-1,-2,-1,-1,-3,-2,Right
64,-1,1,-3,-2,-2,0,0,-2,Right
79,-1,-1,1,0,1,-2,0,-1,Right
80,0,-1,-2,-1,-1,0,-2,-2,Right
80,0,1,-2,-2,-3,1,1,0,Right
96,0,-3,0,0,-3,-2,-1,0,Right
96,-2,-3,-1,-3,-1,-1,-2,-1,Right
96,-2,0,1,5,3,0,0,0,Right
111,0,-2,-2,-1,2,-2,0,1,Right
118,0,-1,-3,-4,-4,1,-8,-1,Right
118,-2,-2,2,12,-4,-4,8,-3,Right
118,-2,-4,-7,-6,-3,2,-1,-1,Right
127,0,4,12,16,18,9,1,0,Right
127,-6,-10,-26,-40,-18,-12,-5,-6,Right
137,2,2,0,4,-8,0,-3,0,Right
137,0,1,4,12,24,7,1,0,Right
144,-2,-3,-6,-16,-25,-6,2,-1,Right
155,-8,-6,-10,-17,-24,-21,-13,-8,Right
159,-5,2,6,0,-16,-15,-11,-7,Right
159,1,-3,-4,-3,7,3,4,6,Right
175,6,0,-5,7,15,11,1,4,Right
175,-2,-1,3,-4,2,0,1,-5,Right
175,-4,0,3,-10,-5,-2,-1,-3,Right
175,3,0,4,5,6,4,3,3,Right
175,4,3,12,19,22,10,5,5,Right
191,3,2,1,7,0,5,2,2,Right
191,-12,-4,-9,0,1,-6,-10,-14,Right
191,2,8,19,8,-19,5,8,3,Right
207,6,-4,-19,-32,-6,5,7,9,Right
207,4,-4,-1,20,16,9,3,6,Right
207,2,0,14,43,48,14,1,3,Right
207,-5,-1,-12,-4,-20,-6,-10,-9,Right
223,-8,-4,-3,-7,-20,-16,-11,-9,Right
237,-1,6,5,0,-3,2,4,0,Right
238,1,0,2,12,7,-7,3,2,Right
238,-5,-5,-7,-7,3,-12,-4,-5,Right
240,-5,-2,-3,-1,-10,-3,-4,-5,Right
240,1,6,13,20,14,7,-5,0,Right
254,1,-2,-6,-12,7,12,-5,4,Right
254,-1,-2,-7,-11,-40,-14,-10,-2,Right
272,-3,2,1,6,-10,5,-11,-7,Right
272,0,2,17,-2,62,26,8,0,Right
272,3,38,40,-38,-50,14,12,6,Right
272,-1,68,99,-18,27,13,17,-3,Right
302,-1,41,127,18,45,-3,17,-1,Right
302,3,-4,127,-30,-37,-11,2,-2,Right
302,-3,-62,102,-37,-25,-19,-37,-9,Right
302,3,-67,-92,6,15,11,-44,0,Right
319,-3,-49,-118,22,5,-15,-35,-6,Right
319,3,-26,-128,10,-5,-2,1,5,Right
321,1,-17,-128,1,28,-6,21,6,Right
321,-8,-15,-106,-8,-40,-31,15,-5,Right
334,-3,-4,-90,3,20,-1,22,3,Right
334,-3,5,-60,5,-11,-10,16,2,Right
338,-1,12,-27,-7,-28,-5,12,2,Right
338,-1,9,14,12,24,6,13,2,Right
349,-5,-1,5,-20,-22,-6,0,-2,Right
349,-1,6,31,0,-12,-9,-2,0,Right
349,3,12,17,6,4,4,2,3,Right
349,0,2,27,5,-3,-3,-1,2,Right
365,-1,1,31,-13,-3,-1,-5,-2,Right
381,2,9,32,10,-14,9,0,2,Right
381,0,5,7,5,31,5,-5,-2,Right
381,-5,-3,51,-11,-33,-23,-11,-7,Right
381,0,4,23,-14,-17,-6,-4,-4,Right
381,-5,-2,-5,-7,-14,-3,-5,-3,Right
396,13,12,-13,73,38,16,7,6,Right
396,-1,-2,18,7,18,7,-1,-2,Right
412,1,4,10,-3,12,2,-1,-1,Right
412,-5,-5,-21,1,-4,-9,-9,-5,Right
412,1,4,24,-30,-38,-8,-1,2,Right
412,0,-2,-1,-3,3,5,2,0,Right
439,3,-3,0,14,6,7,1,-1,Right
439,5,1,5,-12,31,-2,-6,0,Right
439,-27,-5,-19,2,-7,-3,-3,-13,Right
439,5,-2,-5,10,37,14,6,-3,Right
444,4,-2,-9,5,-6,-5,-2,6,Right
444,-38,-12,-8,-4,-22,-5,-4,-11,Right
460,68,10,7,-20,-11,-3,-5,12,Right
460,61,46,-10,4,-14,-7,-3,-14,Right
477,-90,-88,-72,-30,-52,-3,-1,-17,Right
477,47,25,38,8,54,-2,-7,-27,Right
477,14,0,-19,52,-23,4,14,71,Right
477,-67,-32,-70,-18,-16,-1,-2,-5,Right
492,30,22,-9,8,-26,-7,-3,-8,Right
492,52,28,-14,17,33,13,6,25,Right
492,-19,-11,-21,-2,-7,-9,-15,-30,Right
508,-20,-3,47,-35,5,-3,-4,-8,Right
508,-45,-17,-14,-60,-12,-7,-1,-4,Right
508,0,-16,-9,-8,-27,0,2,4,Right
508,64,29,28,-3,18,2,-1,-11,Right
523,-17,-25,-22,-53,2,-2,0,9,Right
523,5,11,25,28,7,-1,-2,-6,Right
540,0,2,33,-3,-31,-3,0,4,Right
540,5,14,13,-37,2,3,3,5,Right
540,-5,-12,10,61,64,4,-2,-4,Right
555,14,2,9,9,-37,-12,-1,2,Right
555,-17,-1,-11,5,9,1,-4,-34,Right
555,-12,-14,-44,-5,-31,-8,3,27,Right
555,-16,7,17,3,-7,7,-2,-41,Right
571,4,-5,1,-5,-2,2,2,15,Right
571,6,9,0,11,18,-4,-3,15,Right
571,-48,-21,-7,-20,6,0,-2,-27,Right
571,24,12,-17,3,-42,-6,4,19,Right
587,29,13,41,16,64,7,-2,-16,Right
598,-31,-8,-12,-25,-52,-3,0,-15,Right
602,3,-3,10,16,21,9,2,5,Right
603,14,3,-7,1,32,2,-1,8,Right
620,19,10,5,15,-21,-9,-5,3,Right
620,-58,-33,-6,9,-7,7,3,3,Right
620,-20,3,16,7,13,-9,-9,-15,Right
620,51,16,-8,-28,-5,5,5,17,Right
620,-66,-19,1,0,2,4,3,-5,Right
636,-9,-12,-3,-22,-3,1,1,7,Right
640,0,9,25,23,-19,3,0,-10,Right
640,-22,-12,-35,10,-19,-17,-7,-8,Right
651,41,17,-4,-5,40,1,2,17,Right
651,17,7,-9,-14,-25,-5,1,5,Right
651,-23,-9,8,-5,22,6,2,-12,Right
651,9,0,8,-22,-4,1,-1,12,Right
667,20,13,11,-15,-64,-3,0,2,Right
682,-4,-8,-58,65,45,-4,-4,-2,Right
682,-4,-1,3,-8,18,3,-1,-7,Right
682,-1,-7,6,3,-14,-12,-8,0,Right
682,-4,1,-9,21,8,11,5,-15,Right
682,13,7,11,-14,-17,1,6,31,Right
699,33,0,-6,-10,-17,1,-3,4,Right
699,-23,-14,-12,19,53,-8,-7,-12,Right
714,10,2,6,14,16,-5,-3,0,Right
714,13,33,25,4,-4,0,-4,-10,Right
714,-51,-32,-11,-29,3,4,3,0,Right
714,-6,-2,-13,-22,-35,2,4,6,Right
739,0,6,8,-32,-10,4,1,-3,Right
740,16,4,5,15,39,2,0,0,Right
740,-8,-16,-64,8,25,-14,-9,-9,Right
740,-10,-3,6,1,-39,4,5,-1,Right
763,13,17,25,70,-15,2,4,13,Right
763,-2,-5,-9,-63,54,12,-2,-3,Right
763,-12,-8,-11,-42,-32,-20,-11,-12,Right
763,4,5,27,47,-7,12,4,6,Right
778,12,3,-10,7,42,-4,-2,0,Right
779,-8,-13,7,-9,-21,-2,3,1,Right
779,3,6,12,-2,2,15,4,-1,Right
779,0,0,4,-23,-5,-11,-5,-1,Right
794,18,25,46,53,-90,18,8,16,Right
794,-17,-19,-21,-5,-9,-41,-29,-21,Right
810,-18,-23,-41,-4,77,-15,-13,-16,Right
810,1,7,31,35,-16,12,20,9,Right
810,4,1,0,15,-30,18,10,4,Right
810,-8,-13,-5,24,-82,-33,-9,-7,Right
810,6,1,-35,-88,2,-5,-16,-10,Right
810,-12,10,56,72,-22,-34,-19,-7,Right
825,-16,-19,-61,-123,18,1,12,-9,Right
839,-14,-4,-10,-43,10,88,49,-34,Right
839,21,8,38,108,38,75,34,49,Right
839,33,9,3,-29,84,2,-6,39,Right
857,-18,-23,-5,76,6,-42,-29,-14,Right
857,-21,-4,4,-3,-64,-51,-24,-4,Right
857,-40,-11,-47,-106,-89,-56,-21,-34,Right
857,-13,-18,46,-11,80,18,4,-24,Right
873,14,16,42,88,19,-13,-4,31,Right
873,-11,-20,-40,15,-30,-12,-12,-11,Right
873,24,45,71,10,67,21,8,-14,Right
873,-2,17,8,60,20,-2,8,15,Right
888,8,43,47,-15,-55,19,25,3,Right
888,20,-23,-55,-2,75,25,7,0,Right
888,12,-10,-70,-20,-80,-23,1,-3,Right
888,-35,-40,-56,46,2,7,-5,-55,Right
920,32,-40,-111,-102,-71,-58,-39,33,Right
921,13,-9,33,42,126,35,3,52,Right
921,15,44,89,92,75,27,12,31,Right
921,-18,-10,-37,-42,-89,-52,-18,-46,Right
921,3,13,42,80,94,34,8,-33,Right
936,20,34,12,-73,-94,-33,-14,-14,Right
939,-4,35,78,56,19,8,3,34,Right
939,25,-9,5,-46,-105,6,4,8,Right
952,16,-29,41,-35,3,24,23,102,Right
958,-18,-25,-14,8,89,-19,-19,-38,Right
958,-18,-27,-13,-62,-78,-30,-12,-54,Right
958,27,36,31,-15,-37,19,10,-12,Right
968,-19,-1,-11,-27,77,11,8,-17,Right
968,10,16,46,41,116,23,19,3,Right
984,-22,-13,-10,-27,-59,-9,0,-11,Right
984,-10,-2,-11,-12,72,4,-6,11,Right
984,-17,-8,-19,-6,-9,-5,-9,-29,Right
984,6,25,33,0,-9,20,5,1,Right
1000,-57,-33,-81,-39,13,-32,-30,-111,Right
1000,41,-11,20,-39,-49,1,17,127,Right
1016,0,-33,-28,-51,-62,-3,-9,-52,Right
1025,25,12,36,-16,-17,-11,-13,11,Right
1031,33,20,3,77,-14,-5,10,39,Right
1031,-63,-51,-26,-100,46,0,-11,-64,Right
1039,-19,2,-8,26,62,4,-2,-9,Right
1039,-3,-10,-18,-39,-128,-29,-8,-13,Right
1039,21,5,33,50,52,25,10,11,Right
1042,-20,-5,-67,-73,-19,-24,-22,0,Right
1047,1,6,2,-18,1,-10,-8,-14,Right
1053,-7,9,9,19,2,11,8,11,Right
1053,22,-1,4,21,-2,-3,-2,22,Right
1053,18,22,17,34,-43,20,16,-3,Right
1064,-7,-4,-20,-13,57,8,-2,-2,Right
1064,-44,-33,-35,-18,-64,-28,-16,-70,Right
1079,0,36,7,-44,-21,1,6,64,Right
1079,20,18,12,41,25,8,6,65,Right
1095,-1,-9,-36,-22,0,-21,-19,-50,Right
1095,11,24,28,13,-39,-7,10,44,Right
1095,29,1,33,-1,-3,2,-4,-30,Right
1095,-35,-2,-2,22,-8,7,3,-44,Right
1111,-1,20,17,10,-4,-4,5,23,Right
1111,5,-1,-46,-12,28,6,2,-1,Right
1142,-23,-40,-33,-36,9,10,5,-18,Right
1142,18,12,5,44,21,-8,-5,1,Right
1142,-2,-7,-11,-22,-11,-2,-1,5,Right
1142,-6,-7,-25,-23,8,-1,-6,-10,Right
1142,-6,2,20,34,24,2,-3,-41,Right
1142,5,-13,0,34,14,3,6,73,Right
1159,-5,11,-16,-25,21,4,-4,-8,Right
1159,1,8,-15,12,-50,-8,4,-38,Right
1161,-55,-29,-19,-9,-1,-10,-4,82,Right
1161,27,14,25,2,11,13,0,-63,Right
1161,-22,-14,9,-24,1,-11,-7,-25,Right
1175,12,0,17,20,58,8,4,37,Right
1175,0,7,8,-24,-36,0,-3,-34,Right
1175,-13,-10,-58,79,-30,-10,-1,-15,Right
1190,-11,2,15,74,2,-1,-4,18,Right
1190,-4,5,15,21,-7,7,6,2,Right
1190,11,-18,-50,-37,-13,-23,-12,-6,Right
1190,0,-18,-22,-10,31,7,3,8,Right
1222,9,21,7,0,8,8,5,-20,Right
1222,5,7,4,31,-9,2,4,-13,Right
1222,45,19,13,33,-12,4,-4,-1,Right
1222,-47,-26,5,-30,-13,-9,-4,24,Right
1222,9,30,-2,-8,-61,-10,1,2,Right
1222,-9,-26,-8,-34,-8,-7,-10,-1,Right
1239,3,3,22,14,67,8,3,-2,Right
1239,-2,18,20,-3,13,2,2,-9,Right
1253,7,-17,4,-15,5,5,5,21,Right
1253,19,33,36,30,22,17,12,23,Right
1253,14,7,-60,-42,-80,-24,-10,-5,Right
1253,-22,-12,0,29,75,4,-10,-36,Right
1269,-18,-13,-42,-4,-26,-5,1,3,Right
1269,-8,5,27,24,-2,-1,0,12,Right
1287,1,-4,-16,1,0,4,2,-15,Right
1287,12,24,16,33,-3,-4,-3,-57,Right
1301,10,5,19,-7,-36,-7,0,68,Right
1301,-4,-13,-45,12,45,6,1,-6,Right
1301,-16,-21,32,18,-16,0,2,25,Right
1301,18,27,15,-29,-27,-5,-4,-14,Right
1316,3,16,9,37,34,15,12,-29,Right
1316,50,3,-11,-79,14,-2,-9,53,Right
1316,-55,-53,-23,15,24,-12,-7,-19,Right
1316,7,15,1,-13,-4,3,-1,19,Right
1340,-4,-15,8,8,75,8,-2,-27,Right
1340,1,17,21,-3,-28,1,5,8,Right
1340,26,19,6,-32,-54,-7,-1,7,Right
1340,-11,-28,-36,-15,58,6,1,-6,Right
1348,-16,-5,-28,-13,-13,-6,-5,-19,Right
1364,-10,-8,9,13,-16,-2,2,2,Right
1364,23,24,-8,65,24,13,3,8,Right
1364,10,11,20,-9,-36,3,4,-2,Right
1364,-31,-29,-29,-32,-14,-17,-17,-37,Right
1364,-15,-11,-10,31,0,-2,2,39,Right
1380,28,1,13,-7,5,-1,1,-20,Right
1380,-16,-8,-32,-24,-35,-19,-10,12,Right
1395,-1,-8,10,-4,3,8,6,-28,Right
1395,-19,3,9,0,-4,-5,-7,-20,Right
1395,38,18,21,-2,-19,1,3,39,Right
1411,24,23,2,-13,2,5,3,12,Right
1411,-6,4,0,6,-2,-1,-4,-3,Right
1411,-15,-5,10,1,-31,-8,-4,-28,Right
1411,-11,4,7,-7,16,6,3,-1,Right
1411,10,-9,-34,-14,16,4,-6,-8,Right
1426,2,3,13,-3,17,-1,1,11,Right
1426,10,21,49,41,-3,5,2,-3,Right
1443,-4,-16,-21,23,41,-2,-4,2,Right
1443,-23,-14,9,-30,-54,-7,-1,-3,Right
1458,4,-5,47,-18,-4,2,-1,15,Right
