timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
4,-1,-2,-4,-2,0,-1,-1,-1,On/Off
9,0,-2,-5,-2,-1,-3,0,-1,On/Off
11,0,-2,-1,-2,-3,-1,-3,0,On/Off
15,-3,-2,7,-1,-2,-1,-1,0,On/Off
28,-3,0,-5,-4,-2,1,-1,-1,On/Off
31,-1,0,1,-1,1,0,-1,-1,On/Off
32,-1,-2,-1,-1,-1,-2,-2,0,On/Off
34,-1,-1,-2,-1,2,0,-1,-2,On/Off
43,0,0,1,-1,-1,0,-2,-1,On/Off
45,-1,-2,-2,0,-3,-1,-3,-2,On/Off
48,-1,-2,-5,-3,-1,-1,-1,-1,On/Off
50,-1,0,-3,0,1,-1,0,-1,On/Off
66,-1,-7,-4,-2,0,-1,0,-2,On/Off
68,1,2,0,-1,0,-1,-1,-1,On/Off
71,1,-1,-3,-1,-2,-2,-1,-1,On/Off
72,-1,-1,-2,-2,-3,-1,-3,0,On/Off
87,-2,0,0,-2,0,-2,-1,1,On/Off
89,-3,1,3,-2,-1,0,-2,0,On/Off
90,-2,-3,-1,-3,0,-1,0,-2,On/Off
91,1,0,-2,-2,-2,0,-2,-1,On/Off
102,0,1,-1,0,-1,0,0,-1,On/Off
108,-1,0,2,0,0,0,-2,-1,On/Off
109,-1,-1,-1,0,-1,-2,-2,1,On/Off
113,-2,-4,-7,0,0,-2,-1,1,On/Off
124,0,3,3,0,-2,-2,-2,-1,On/Off
128,1,0,-2,1,-2,-3,-1,-2,On/Off
128,-1,-1,-2,-1,0,1,-2,-1,On/Off
131,0,-1,-4,-1,-2,-1,0,0,On/Off
147,0,-2,-1,-2,-1,-1,-2,0,On/Off
150,-1,-1,-3,-2,-1,-1,0,0,On/Off
152,0,0,2,0,-1,-1,-1,-2,On/Off
153,-1,2,3,-1,-3,-2,0,0,On/Off
163,-2,-1,-2,-1,-3,-3,-2,-1,On/Off
166,-1,-1,-1,4,6,0,0,0,On/Off
167,0,-1,-2,5,-2,-2,0,-2,On/Off
169,-1,-1,-2,-18,-11,1,-2,-2,On/Off
186,-1,1,1,3,5,0,1,-1,On/Off
187,-1,-2,-1,3,-3,-3,-2,-3,On/Off
189,-1,-2,-4,-12,-10,0,-1,0,On/Off
190,0,0,5,11,9,-5,-3,-1,On/Off
207,-2,-5,-10,-18,-12,1,0,-2,On/Off
209,0,1,0,6,9,-1,1,1,On/Off
211,-3,-1,2,20,2,-8,-4,-4,On/Off
212,0,-1,-8,-35,-22,4,0,0,On/Off
222,-1,0,1,6,5,3,2,-2,On/Off
224,-3,-3,-2,12,9,-3,-3,-2,On/Off
230,-1,0,0,-15,-13,1,4,-1,On/Off
231,-2,-3,1,9,14,-2,-1,-1,On/Off
245,0,-4,-4,-46,-30,3,-4,-2,On/Off
247,-1,5,-1,-10,-7,-6,-2,-2,On/Off
248,-2,-3,0,15,12,-1,-2,1,On/Off
249,0,1,4,26,8,-3,-4,-2,On/Off
267,0,-4,3,13,-7,-6,6,0,On/Off
271,1,0,-5,-21,1,6,0,-2,On/Off
272,0,3,-3,14,10,-2,-2,0,On/Off
274,0,-4,1,-23,-17,9,0,2,On/Off
282,0,6,0,-3,0,-2,8,2,On/Off
284,-2,-6,-6,-7,-13,-14,-15,-5,On/Off
290,0,-3,-5,-2,-1,-4,5,1,On/Off
291,0,-1,-6,22,31,12,3,1,On/Off
305,-1,2,0,10,11,9,7,2,On/Off
307,-1,-1,-3,-6,-11,-7,0,1,On/Off
308,-2,-1,0,10,10,-5,-8,-2,On/Off
311,-1,-1,-7,-36,-21,2,-5,-4,On/Off
328,-2,-2,-3,19,24,-9,-10,-3,On/Off
330,-2,-3,-2,-1,-12,11,2,1,On/Off
331,-3,-5,-1,2,3,-7,-5,-4,On/Off
333,-3,0,2,-20,-22,-11,-4,-5,On/Off
341,-2,3,2,-3,0,-5,-9,-4,On/Off
344,-2,-4,6,12,5,0,-3,-2,On/Off
350,1,9,5,-1,12,11,4,0,On/Off
352,-1,-20,4,19,10,4,2,1,On/Off
364,-2,12,1,3,3,-2,-5,-2,On/Off
367,1,-2,4,21,2,-5,2,0,On/Off
369,1,-2,-4,-44,-23,6,0,-1,On/Off
370,-1,-1,2,9,8,-8,1,-1,On/Off
388,0,-8,-1,3,-4,-5,-1,-1,On/Off
389,0,-2,-3,-20,-14,-3,3,-2,On/Off
391,0,0,2,17,5,1,3,0,On/Off
392,-1,5,-3,-23,-9,-7,2,-1,On/Off
402,-2,-15,-3,2,-2,-1,-1,-1,On/Off
406,-3,7,-9,6,3,1,2,1,On/Off
410,-2,-7,6,3,0,-1,-2,0,On/Off
411,0,12,2,12,-4,-6,-3,-1,On/Off
425,1,1,0,-4,-4,0,0,1,On/Off
427,-2,11,-7,-9,2,2,-1,-1,On/Off
428,1,-33,13,11,1,1,1,1,On/Off
431,-5,-3,-26,-1,4,2,-5,-4,On/Off
448,-4,6,-1,-24,-16,0,-3,-3,On/Off
451,1,3,4,5,4,1,-2,-1,On/Off
453,-1,19,-7,0,4,-1,-1,-2,On/Off
455,5,15,4,8,4,0,-1,-1,On/Off
462,-3,-14,-2,12,2,1,-1,1,On/Off
465,2,-34,-11,-30,-12,-1,-2,-1,On/Off
470,6,92,3,2,-7,-1,-4,-4,On/Off
472,1,-47,7,13,1,-1,0,4,On/Off
485,-4,32,-4,-9,1,0,-1,-2,On/Off
487,-6,-32,-4,24,11,2,1,-1,On/Off
488,-9,-63,11,0,0,-2,1,1,On/Off
489,6,79,-13,-36,-17,-6,-2,-7,On/Off
507,12,-33,-6,-2,0,0,-1,3,On/Off
509,-1,15,18,-10,-10,-6,-7,11,On/Off
511,10,12,-2,6,-9,-3,-1,-10,On/Off
513,-13,-75,8,25,8,1,5,-1,On/Off
523,-19,-41,-16,4,4,-2,0,-4,On/Off
524,25,50,19,-15,-5,8,4,53,On/Off
530,-15,-38,16,50,23,3,-6,-30,On/Off
533,15,60,17,-90,-33,1,3,-4,On/Off
545,-11,-20,-9,7,-3,-5,-4,-8,On/Off
548,-7,-25,-4,5,8,3,-6,-22,On/Off
550,-15,34,-7,-12,-11,-7,1,47,On/Off
551,-7,-73,-11,7,7,8,12,28,On/Off
568,1,121,43,56,10,-4,-4,-68,On/Off
571,-10,-61,4,-27,-3,-3,-13,-2,On/Off
572,-4,-27,-27,-22,-6,2,1,-16,On/Off
573,12,63,8,28,30,0,-6,3,On/Off
582,-2,2,2,-15,-12,-3,4,8,On/Off
586,-2,73,8,39,10,-5,0,-13,On/Off
590,-12,-98,9,46,10,-1,7,22,On/Off
592,-13,-29,-12,-40,-24,-5,-6,-28,On/Off
605,-20,43,7,18,25,15,1,-72,On/Off
607,18,-27,-12,0,-1,-15,-10,16,On/Off
608,9,26,-6,-120,-44,10,3,1,On/Off
611,-18,41,15,64,13,-5,7,44,On/Off
628,54,-128,-16,12,18,5,7,112,On/Off
631,-7,44,-6,-16,-23,-12,-1,-29,On/Off
633,-3,-34,-10,19,1,-4,-11,-17,On/Off
634,-16,34,-18,-6,1,9,-1,7,On/Off
642,0,15,36,41,14,7,11,-31,On/Off
644,14,-39,8,22,18,5,-6,7,On/Off
658,23,-39,19,-18,-33,-13,-3,23,On/Off
660,5,90,2,52,19,4,7,24,On/Off
665,28,-47,-6,-40,-10,0,-3,-49,On/Off
667,-38,105,2,-11,4,7,14,63,On/Off
668,30,-16,28,51,26,3,7,15,On/Off
670,-36,-4,-67,-89,-42,-12,-22,-102,On/Off
688,-4,89,26,30,18,-1,7,77,On/Off
690,52,43,-22,-57,-23,-3,1,-55,On/Off
692,-57,-37,-45,32,24,-6,-30,-54,On/Off
695,25,54,31,36,-13,0,22,56,On/Off
702,-52,-116,-53,-31,-10,-11,-11,-1,On/Off
705,23,117,54,4,-11,2,15,24,On/Off
710,-8,-59,-22,-50,-12,5,5,-7,On/Off
711,-22,16,40,107,27,-9,-18,-21,On/Off
726,76,-21,-46,-22,7,12,7,33,On/Off
727,-18,-123,17,-11,-19,-4,4,-59,On/Off
729,32,127,35,-5,3,2,22,78,On/Off
730,-39,-128,-18,-8,-11,-19,-34,-128,On/Off
747,40,105,57,77,7,-3,-4,30,On/Off
751,-13,-116,-13,-34,8,13,-1,30,On/Off
752,-1,-76,11,14,-7,-7,-7,-45,On/Off
754,9,47,-5,-24,10,8,13,63,On/Off
762,29,-43,6,44,18,-4,8,34,On/Off
765,-65,70,-26,-55,-50,-7,-16,-88,On/Off
770,-31,66,-56,10,-5,-4,-9,11,On/Off
772,13,-13,17,19,5,7,8,0,On/Off
785,-11,-49,-39,60,-18,-16,-6,15,On/Off
788,24,79,24,-60,31,24,15,33,On/Off
790,-11,-34,-28,-8,-1,-7,-4,-33,On/Off
792,11,83,-15,-22,-14,-7,-2,10,On/Off
807,-28,24,-18,-7,-7,-1,-6,-27,On/Off
809,-22,-108,-62,54,9,-8,-4,10,On/Off
811,10,95,-44,-22,8,4,0,-7,On/Off
812,30,-63,-41,12,16,-1,-2,15,On/Off
831,-45,2,-58,-51,-24,-5,-7,-22,On/Off
832,-7,-14,-20,28,-4,-10,0,-5,On/Off
834,20,2,7,17,4,0,-3,14,On/Off
837,5,-13,39,-23,-14,-9,5,-1,On/Off
845,-19,14,17,-42,-14,-7,1,-13,On/Off
847,-5,-13,34,34,4,-4,-3,9,On/Off
848,42,2,52,11,-3,0,-6,-27,On/Off
850,-13,-27,46,16,9,10,-36,-3,On/Off
867,-10,9,1,-54,-4,8,14,-6,On/Off
869,3,-12,60,25,11,5,49,16,On/Off
870,1,15,71,35,8,4,-15,5,On/Off
872,7,-28,31,4,10,9,24,8,On/Off
891,-6,2,-27,-60,-17,-4,-32,-16,On/Off
892,5,-6,-15,43,9,-1,16,-4,On/Off
893,-38,6,13,-2,10,7,3,8,On/Off
896,26,-28,-27,-68,-28,-11,-10,0,On/Off
905,-32,2,47,12,-22,-12,-35,-20,On/Off
907,7,-7,-72,-26,6,-7,-91,-1,On/Off
908,-18,22,9,13,2,3,43,3,On/Off
911,73,-4,-29,-7,3,-8,-15,1,On/Off
927,-93,-7,-69,-36,-12,-1,47,-15,On/Off
929,8,-11,46,17,8,-1,-48,6,On/Off
932,23,17,-60,5,-5,-3,60,33,On/Off
933,25,-25,-70,-80,-19,-8,-22,22,On/Off
951,-13,4,61,3,8,5,74,-17,On/Off
952,22,6,10,96,25,5,-37,9,On/Off
956,-33,-9,-5,-91,-27,-10,-98,-41,On/Off
957,-36,-37,-57,-76,-11,-7,37,17,On/Off
965,12,13,55,82,-3,-5,-78,-19,On/Off
967,17,-1,12,70,16,6,52,6,On/Off
969,72,2,-47,-14,18,9,-48,-12,On/Off
971,-17,-9,-25,38,12,9,92,6,On/Off
988,-23,-14,-52,41,-11,-3,28,18,On/Off
989,-28,-5,78,46,-8,-5,-17,-22,On/Off
991,-13,-6,-43,-64,-17,-2,59,10,On/Off
992,-19,-4,-50,-34,-5,-10,-109,-23,On/Off
1011,62,-11,43,33,24,14,95,7,On/Off
1022,19,5,-71,-35,-6,-4,15,46,On/Off
1028,79,9,24,40,1,1,-46,-22,On/Off
1033,-50,-3,-60,35,12,4,52,-41,On/Off
1035,1,26,-38,-51,-7,-10,-81,19,On/Off
1036,28,-18,-26,-36,-14,-7,60,-24,On/Off
1037,1,-13,5,-8,2,-6,-60,19,On/Off
1038,63,10,127,29,9,9,65,22,On/Off
1048,26,17,108,70,9,7,-57,-21,On/Off
1049,-42,-19,-90,-128,-19,-5,26,-10,On/Off
1051,-37,1,64,-3,-6,-6,-71,-19,On/Off
1053,-5,-10,65,127,11,1,53,32,On/Off
1071,30,-7,-50,-45,-17,-4,26,2,On/Off
1072,19,12,31,28,5,4,-13,-19,On/Off
1073,-76,-20,2,-8,-1,-12,-50,-5,On/Off
1075,-8,31,31,22,10,1,13,-60,On/Off
1085,49,9,43,-2,21,16,-29,90,On/Off
1087,-60,-22,-39,-25,-19,-12,6,-15,On/Off
1088,48,-3,5,5,6,9,85,-8,On/Off
1089,-29,7,-24,20,-1,-5,-30,-6,On/Off
1107,-8,-10,-1,-18,9,3,-2,-3,On/Off
1110,-6,4,-22,-53,-26,-14,-21,11,On/Off
1111,-2,2,35,44,-5,-2,-28,-41,On/Off
1113,-6,7,11,11,-4,2,-3,7,On/Off
1131,13,-5,-39,33,13,3,13,5,On/Off
1132,32,6,-14,15,-3,3,-3,20,On/Off
1135,-36,-13,-56,-90,-11,-1,36,14,On/Off
1138,62,24,81,40,7,4,-22,8,On/Off
1146,-54,-29,-73,-60,-21,-17,-32,-89,On/Off
1147,-48,3,73,106,18,6,-37,8,On/Off
1151,54,4,-86,-25,-9,-6,120,80,On/Off
1152,-36,-20,62,-55,1,3,-56,-1,On/Off
1168,-25,11,-25,5,5,4,92,-34,On/Off
1170,-2,-3,-21,-6,-5,0,-22,27,On/Off
1172,-2,5,2,41,5,0,-13,-27,On/Off
1174,4,-4,-15,-40,-4,-2,-30,16,On/Off
1190,-2,2,25,16,0,-15,-126,-47,On/Off
1193,6,-23,-11,22,14,12,100,24,On/Off
1195,-54,-2,25,22,-13,-8,10,-28,On/Off
1197,-7,-8,-18,-19,-7,0,58,13,On/Off
1205,5,14,23,-7,9,7,-13,13,On/Off
1207,-2,2,-1,-2,5,2,-44,-28,On/Off
1209,-12,-27,-10,35,-20,-12,-49,-6,On/Off
1211,-4,-10,5,40,-7,-2,-9,0,On/Off
1227,-15,2,-18,-23,-7,-4,12,8,On/Off
1230,-6,6,-2,0,6,0,-16,-5,On/Off
1231,-30,5,10,4,5,5,21,-7,On/Off
1234,-5,2,-30,2,8,1,-15,-7,On/Off
1251,-8,-6,23,25,-2,-4,1,25,On/Off
1255,16,1,0,-21,-7,-5,-1,-22,On/Off
1256,-1,-5,-11,-4,0,1,21,8,On/Off
1257,2,-4,-16,-1,-1,-3,-24,-1,On/Off
1266,0,16,-10,-31,0,3,18,12,On/Off
1268,8,-20,59,19,2,1,0,-11,On/Off
1271,14,12,-10,37,5,3,3,2,On/Off
1272,-10,-10,-73,-103,-19,-9,-27,-6,On/Off
1287,29,-7,12,2,-13,-4,11,9,On/Off
1288,-16,11,8,4,0,-4,1,-6,On/Off
1289,23,10,18,24,15,5,-80,-4,On/Off
1291,39,3,15,32,6,7,90,22,On/Off
1311,-65,-17,-21,-10,-3,-2,-3,-1,On/Off
1313,8,9,23,-20,2,-1,-31,-19,On/Off
1316,-43,-6,10,-25,-5,-2,18,1,On/Off
1320,-20,-2,-24,-5,-4,-6,-48,-18,On/Off
1324,25,-14,-28,-55,-11,-5,10,17,On/Off
1327,4,18,30,30,9,3,19,-3,On/Off
1333,10,7,23,25,4,0,2,10,On/Off
1334,-4,0,3,8,-4,-5,-23,-11,On/Off
1347,13,3,12,-26,-5,1,14,2,On/Off
1349,-12,-3,-23,-5,0,-2,-20,0,On/Off
1351,18,7,-12,-5,4,5,41,7,On/Off
1352,-12,-21,6,38,4,0,-4,-1,On/Off
1371,0,12,32,16,4,0,-9,2,On/Off
1372,39,-1,-56,-14,-7,-3,-2,-10,On/Off
1374,5,11,83,-6,0,1,-8,-2,On/Off
1377,-50,-10,-20,13,-9,-6,-5,-3,On/Off
1386,4,4,-22,-16,-1,-1,-5,-9,On/Off
1388,13,-3,-12,3,1,3,43,11,On/Off
1389,-12,6,-11,-16,0,0,20,-2,On/Off
1391,-28,-16,27,1,5,1,-22,9,On/Off
1407,-12,7,-8,16,7,1,-48,-22,On/Off
1409,38,8,-5,-1,-3,4,65,28,On/Off
1412,-8,-3,-10,-2,-6,-3,15,-8,On/Off
1414,-1,14,20,12,0,-2,-15,19,On/Off
1430,20,0,11,-6,2,0,13,7,On/Off
1432,-18,15,-5,12,1,-1,-30,-18,On/Off
1434,-10,-11,-11,31,-7,-8,-2,-3,On/Off
1435,24,14,22,23,5,1,-10,-5,On/Off
1444,10,-11,17,-2,1,-1,10,3,On/Off
1447,-1,6,-18,-34,2,2,-10,2,On/Off
1453,-10,-22,-32,34,-6,-6,-15,-15,On/Off
1454,8,14,-40,-48,-8,-5,11,3,On/Off
1467,63,-2,25,6,-2,-2,-24,13,On/Off
1469,-11,0,43,18,3,0,21,-17,On/Off
1471,37,1,-29,-43,13,13,38,44,On/Off
1472,9,15,88,45,7,4,-4,-13,On/Off
1490,-14,-33,-113,-56,-38,-19,-19,4,On/Off
1492,-58,-4,16,8,0,-4,-2,-3,On/Off
1495,44,26,88,27,8,3,-7,7,On/Off
1496,-99,-21,-88,-44,1,1,-1,-36,On/Off
