timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
13,1,0,1,-1,0,1,2,1,Backwards
15,-1,0,3,-1,-1,-1,-2,-4,Backwards
15,-1,0,-1,0,-1,-2,-1,2,Backwards
16,0,0,-1,1,3,1,-2,-2,Backwards
26,-2,-1,-1,-2,1,-2,-2,-1,Backwards
26,1,-1,-5,-6,-10,-1,1,3,Backwards
34,-5,-2,0,6,-10,-8,-4,-4,Backwards
35,-2,-3,-2,9,13,2,-7,-3,Backwards
51,3,-2,-8,-19,-8,1,1,-2,Backwards
53,2,2,3,9,-3,-3,3,5,Backwards
54,-1,0,0,3,7,7,0,-1,Backwards
54,-4,-3,-7,-9,-12,-3,5,0,Backwards
73,-3,-1,-1,-7,-5,-4,-8,-5,Backwards
77,-4,-3,-8,-28,-12,-9,-2,-1,Backwards
77,2,1,1,-3,9,6,-3,-3,Backwards
77,3,2,3,3,-1,4,6,3,Backwards
85,1,1,7,12,-7,-3,1,0,Backwards
86,-5,-4,-7,6,-1,-8,-11,-9,Backwards
94,3,2,5,11,6,4,10,7,Backwards
95,-8,-4,-11,-27,-2,-6,-7,-10,Backwards
110,2,3,11,22,3,0,5,6,Backwards
112,4,5,3,-9,4,18,5,3,Backwards
116,1,4,16,14,6,-5,-4,-5,Backwards
116,-1,-9,-27,-2,-8,9,-10,-3,Backwards
132,0,3,13,21,-3,-23,8,2,Backwards
135,-4,-5,-7,0,2,2,-2,-2,Backwards
136,-1,-6,-15,-16,0,6,3,0,Backwards
136,0,7,11,2,3,1,-7,-4,Backwards
145,-6,-1,6,-4,2,-4,-13,-7,Backwards
146,3,-4,-9,10,4,6,4,4,Backwards
154,-2,1,4,-2,-3,0,-1,-1,Backwards
155,1,1,17,7,-2,-5,3,5,Backwards
170,-1,-3,-20,-8,2,5,0,-2,Backwards
173,-2,5,19,6,5,-7,-1,-1,Backwards
175,1,-5,-15,-6,-7,-6,-4,2,Backwards
175,0,-2,-2,1,-6,-6,0,0,Backwards
193,-1,1,4,-7,4,9,1,0,Backwards
195,-2,-2,-8,-9,-1,0,-4,-6,Backwards
196,-2,-1,-1,-1,-7,-10,-4,-2,Backwards
196,1,3,10,5,4,2,5,4,Backwards
205,1,-3,-2,2,4,7,2,2,Backwards
206,-4,-2,-2,-1,1,-4,-1,-1,Backwards
222,-2,1,0,-4,-8,2,-3,-2,Backwards
225,-1,0,-3,-5,-10,-12,4,1,Backwards
229,-3,-5,-8,-10,-1,1,-2,-2,Backwards
229,-2,0,-1,1,2,-2,-5,-1,Backwards
236,0,-1,-14,2,0,4,4,-1,Backwards
236,1,-1,10,7,3,4,-1,0,Backwards
253,-3,-5,-13,-14,-4,-1,-5,-1,Backwards
257,-3,-2,-3,-3,-7,-3,-1,0,Backwards
257,-2,-1,-7,-7,-9,-7,-1,-1,Backwards
258,-2,0,-2,3,9,2,-2,-3,Backwards
266,-1,-1,-1,-11,-20,-7,-2,0,Backwards
266,-1,-2,2,-2,-6,-4,0,1,Backwards
274,-3,-3,1,4,1,0,0,-3,Backwards
275,-1,-1,-11,-11,2,-2,-2,-2,Backwards
290,0,-2,2,-1,3,3,0,-1,Backwards
293,0,2,11,16,7,4,2,0,Backwards
296,1,-1,0,-1,-3,-5,-3,0,Backwards
296,-3,-2,1,-1,0,2,0,-2,Backwards
313,-4,-4,-10,-5,-3,-3,-2,-3,Backwards
314,-2,-3,-9,-1,-10,-4,-4,-2,Backwards
315,-1,1,2,5,11,5,3,2,Backwards
