timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
13,-1,0,2,3,-7,-1,0,-2,Rotation
16,-3,-4,-4,-1,-20,2,2,-2,Rotation
16,-2,0,3,9,12,0,-1,-4,Rotation
16,-2,-1,-1,-8,-24,-2,-3,1,Rotation
32,0,-1,-5,-25,-19,-3,-2,-1,Rotation
32,-2,-2,1,10,15,-1,-5,-3,Rotation
32,1,0,0,-2,-7,-3,0,1,Rotation
32,0,-1,-1,-10,9,1,0,1,Rotation
47,-4,-4,-2,-6,-11,-5,-3,-3,Rotation
47,-1,-1,0,3,1,-1,-4,-1,Rotation
47,1,0,1,5,-3,-4,-6,0,Rotation
47,1,0,-2,2,4,-2,4,-1,Rotation
63,1,-1,-1,-2,3,1,1,-2,Rotation
63,-2,-2,0,-4,-1,-3,-3,1,Rotation
63,-3,-4,-3,-9,2,0,-1,-1,Rotation
63,-1,0,1,5,-13,2,-2,-2,Rotation
94,1,-1,-1,2,0,1,-2,-4,Rotation
94,0,-1,-2,8,9,-1,-2,0,Rotation
94,0,1,1,-5,-12,-3,5,1,Rotation
94,1,-1,-1,4,19,4,-1,0,Rotation
111,0,-1,-2,0,-4,-2,-1,-1,Rotation
111,-2,0,10,5,17,5,-2,1,Rotation
111,-5,-1,-18,-8,-5,-6,-1,-6,Rotation
111,-8,-5,4,-3,-5,-9,-4,-7,Rotation
127,2,-1,3,5,1,2,0,7,Rotation
127,1,-2,-5,2,5,7,6,-6,Rotation
127,-4,-4,3,-1,16,3,1,-2,Rotation
127,-2,-2,-4,-6,-28,0,1,-2,Rotation
158,2,-1,1,-1,-10,1,3,2,Rotation
164,0,0,2,2,-3,-10,-9,-2,Rotation
164,4,0,2,3,6,4,3,3,Rotation
164,0,0,-3,2,4,1,-1,0,Rotation
164,-4,-2,-3,6,3,-2,-2,0,Rotation
164,0,-1,-12,-3,1,-3,0,0,Rotation
174,-2,0,4,3,-19,-3,-3,-2,Rotation
174,-1,-3,-7,0,11,2,-5,0,Rotation
190,-3,-2,0,-1,0,-6,0,-1,Rotation
190,1,-1,-2,-2,8,2,4,0,Rotation
190,3,0,0,-11,-16,-1,-4,2,Rotation
190,1,-1,1,19,36,8,1,4,Rotation
222,-7,-4,-5,-4,-7,-4,-3,-9,Rotation
225,2,3,-1,-3,-2,0,4,5,Rotation
225,-1,-2,-3,-13,-20,-6,-1,-1,Rotation
225,3,2,2,2,3,-2,-3,2,Rotation
225,2,1,-1,18,14,5,-2,-1,Rotation
231,-2,-1,2,-12,-5,-6,-4,-1,Rotation
237,0,0,2,6,6,10,8,4,Rotation
237,-2,0,-1,-8,-20,-3,-2,-2,Rotation
253,1,0,-1,-3,9,-5,-5,-4,Rotation
253,0,-4,-1,-12,-4,0,3,1,Rotation
253,1,-2,0,3,12,-2,-7,-2,Rotation
253,-2,-1,-2,-7,-12,2,-1,-5,Rotation
269,-1,1,-1,1,-18,-8,5,1,Rotation
269,-5,-2,-5,-11,3,-3,-9,-5,Rotation
269,1,0,-4,-3,-1,-2,2,0,Rotation
269,-3,-1,5,18,9,-2,-4,-5,Rotation
285,-2,-4,-11,-34,-7,2,-2,-1,Rotation
285,2,-1,3,25,-7,2,-3,4,Rotation
285,-1,-2,-2,-11,-16,-7,-3,-2,Rotation
299,1,-1,1,0,8,1,1,-2,Rotation
301,0,-1,-2,-6,-17,-8,-5,1,Rotation
314,-2,0,0,-10,-10,5,3,-2,Rotation
316,-6,-3,-3,12,16,2,-4,-7,Rotation
317,-2,-1,-3,-11,-28,-9,-1,-1,Rotation
333,0,0,2,7,21,10,2,2,Rotation
333,-2,0,-3,-22,-9,0,-4,-2,Rotation
333,0,-3,0,3,-11,-7,5,1,Rotation
333,-2,-2,-4,-5,8,6,3,-3,Rotation
348,0,0,2,1,-4,-4,-7,-1,Rotation
348,-1,-1,1,20,8,-2,-1,-2,Rotation
348,-1,0,-2,-12,-5,2,0,-1,Rotation
348,1,-1,1,7,0,-4,-1,5,Rotation
364,-1,-1,-3,-16,15,4,1,-2,Rotation
364,0,-1,3,14,-2,-1,1,-2,Rotation
364,-1,-1,2,-1,6,-1,-1,0,Rotation
364,0,-1,-6,-6,5,-4,-1,-1,Rotation
395,-3,0,-1,-7,-13,3,0,-3,Rotation
397,-3,-2,-1,5,-18,-1,0,-2,Rotation
399,-3,0,-2,4,3,-6,-8,-2,Rotation
399,0,0,2,-5,-6,3,2,1,Rotation
399,-1,0,2,11,-7,-3,-1,0,Rotation
411,-1,-2,-1,-2,8,3,-2,0,Rotation
412,0,0,-8,-8,3,-5,0,-1,Rotation
412,0,-1,2,8,2,4,1,0,Rotation
427,-1,-2,0,1,-2,-3,-1,-1,Rotation
427,-1,-2,-6,2,2,-5,-2,-2,Rotation
427,-1,-1,2,-2,-2,0,-4,-3,Rotation
427,-1,3,5,9,5,1,-1,-2,Rotation
443,-2,-4,-9,-10,-5,-5,2,1,Rotation
443,-1,-1,-1,-25,-9,-3,1,-2,Rotation
459,-2,-1,0,2,6,-2,-2,-1,Rotation
460,1,0,0,-16,-6,-1,1,0,Rotation
460,-1,-1,3,23,11,3,-1,-1,Rotation
460,-1,1,5,-3,4,-5,-2,0,Rotation
475,1,1,4,3,-11,-6,-2,1,Rotation
475,-3,-4,-6,-1,26,7,1,-1,Rotation
491,-1,-2,0,-6,-3,0,1,0,Rotation
491,-2,-2,-4,-3,-5,-4,-1,-3,Rotation
491,-1,-1,13,16,10,8,-6,-3,Rotation
