timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
0,-1,-1,0,10,1,1,-1,1,Down
0,1,-2,-3,-5,0,0,0,0,Down
8,0,0,0,-1,-7,-3,-4,-1,Down
8,-3,-2,-2,-11,8,-2,-2,0,Down
8,0,0,2,0,-10,-1,-2,-2,Down
16,-1,-1,-2,1,-11,-3,-4,-2,Down
16,-1,-4,-3,-4,-5,-1,1,-1,Down
33,1,-1,-1,-4,3,2,0,-1,Down
34,-2,-1,-2,14,8,0,1,-1,Down
34,-1,1,1,-4,2,0,0,0,Down
34,-2,-3,-4,-13,-12,-3,-1,-2,Down
48,1,1,-1,-6,-2,-3,1,-2,Down
57,-2,0,1,13,-5,-1,-3,0,Down
57,-2,-1,-2,-6,1,-1,-1,-2,Down
57,-1,0,0,-2,4,-1,-5,-2,Down
64,-3,-3,-3,-2,-3,8,3,0,Down
64,1,-2,-1,0,1,1,1,1,Down
64,-2,-1,-2,2,2,-1,0,-1,Down
64,0,-1,0,-3,-5,-2,0,-1,Down
80,-2,-1,-4,-1,-4,-4,-3,-2,Down
95,0,0,1,2,1,0,-3,-1,Down
95,-1,0,0,-5,1,-2,-2,-3,Down
95,0,-2,-1,2,1,-1,-1,-3,Down
111,0,0,-1,2,0,-4,-4,-2,Down
116,-3,0,-1,-8,3,-5,-2,-5,Down
116,2,1,-1,-6,10,1,4,4,Down
116,-2,-3,-1,8,-38,-5,-1,-2,Down
128,1,0,0,-5,5,1,1,-1,Down
130,-2,-1,-1,-12,-5,0,1,-1,Down
130,-2,-2,-2,1,-4,-4,-3,-2,Down
130,-1,0,2,2,8,1,0,0,Down
144,-2,-1,-2,-7,-10,1,2,0,Down
144,-1,0,0,-4,-1,-5,-5,-2,Down
144,-2,-2,-2,2,-3,0,2,-2,Down
159,0,0,-2,-5,-8,3,0,0,Down
175,-3,-2,-1,2,-1,-5,-2,-2,Down
176,0,0,-2,3,9,2,2,1,Down
176,-3,-2,-2,1,-5,-2,-2,-2,Down
176,-1,-2,1,0,4,-3,-3,-2,Down
176,-2,-2,-2,-1,4,2,-1,-2,Down
176,-1,-2,1,0,-2,0,-2,-1,Down
192,2,-1,1,9,0,-1,-3,-2,Down
192,-2,-1,-2,-12,-3,-4,-3,0,Down
206,-2,-1,1,12,-4,-4,-4,-1,Down
213,-1,-4,-4,-12,-6,-3,0,1,Down
213,-1,-2,-1,-2,9,1,0,-1,Down
213,-1,1,-2,0,0,1,-2,-1,Down
222,-1,-1,-3,-15,-4,-3,-2,-1,Down
238,-2,-2,-4,-3,0,-2,-1,0,Down
239,0,-2,-2,7,0,-2,-2,-2,Down
239,-2,-2,-1,-16,6,3,0,0,Down
239,0,-1,-3,4,-21,-6,-2,0,Down
239,0,-1,-2,-9,-12,0,2,0,Down
254,0,-1,1,8,6,3,0,-2,Down
254,-2,-1,1,11,11,0,0,0,Down
