timestamp,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
6,2,0,0,3,2,-12,-6,-3,Left
9,1,-1,0,-2,0,16,5,4,Left
9,1,0,1,3,13,-5,-1,1,Left
9,0,-1,-1,-4,-7,-8,-1,0,Left
23,-1,-3,-1,-2,14,19,4,-2,Left
34,0,-1,-2,-3,-6,16,0,0,Left
34,-3,-3,-1,-4,-4,-38,-9,-2,Left
39,0,-1,0,-1,-3,2,1,1,Left
55,-3,-2,-2,2,7,-4,-5,-1,Left
56,-2,-1,-1,0,5,5,-5,-5,Left
56,0,-1,-1,-1,7,18,1,-3,Left
56,-2,-1,-1,-3,2,-19,-6,-2,Left
56,-1,0,0,-2,-5,15,6,2,Left
56,0,0,-2,-5,-15,-23,-6,-1,Left
70,-2,-2,-2,0,-2,-5,-2,0,Left
72,-4,2,0,0,3,0,-2,-3,Left
104,-1,-1,0,-10,2,-6,-4,0,Left
111,0,-2,1,4,-1,2,2,-1,Left
111,1,0,-3,-1,-2,-2,4,2,Left
114,0,-1,-2,-4,2,13,2,-1,Left
117,-1,-3,-3,-6,-8,-7,1,1,Left
118,1,-1,0,-1,-8,-6,-1,0,Left
118,-2,-2,0,-1,0,-4,-5,0,Left
118,-2,-3,-4,-1,-7,2,0,-3,Left
118,-1,-2,0,3,9,-4,-4,-3,Left
118,2,-1,-1,-6,-6,-5,0,1,Left
118,-1,0,1,2,10,22,4,0,Left
118,1,-2,-1,-4,2,-6,3,3,Left
150,-2,-2,-2,0,-11,-6,-6,-6,Left
152,1,1,-2,2,3,-3,1,2,Left
153,0,1,-2,-2,0,2,3,2,Left
153,-1,-3,0,0,-1,14,2,1,Left
167,-1,1,0,6,10,4,3,0,Left
176,-4,-5,-5,-12,-19,-23,-7,-4,Left
176,-4,-3,-4,-4,-11,-12,-6,-2,Left
176,1,0,-1,1,-9,-13,-4,-2,Left
182,2,0,-2,-8,3,-3,3,4,Left
182,-5,0,0,5,-1,18,2,-6,Left
182,-1,-2,-3,-1,-4,-1,-4,-4,Left
182,0,-1,0,2,-4,-4,5,3,Left
197,-3,-1,2,4,1,-1,-6,-2,Left
214,1,1,2,8,22,-1,-5,2,Left
214,-5,-3,-2,-6,-10,19,-3,-4,Left
214,0,-2,-4,-2,-13,-20,-4,-2,Left
229,-4,-3,-5,-2,-2,13,2,-5,Left
234,0,0,1,6,15,-5,0,2,Left
236,0,-2,-1,1,6,-8,-6,-2,Left
236,0,0,-3,-10,-11,-3,-1,-1,Left
245,-2,-1,-1,2,0,1,-5,-1,Left
245,1,-1,-2,-3,-12,-21,-1,1,Left
245,1,0,0,1,8,10,4,0,Left
245,-5,-2,-2,4,-1,-6,-5,-7,Left
262,0,0,-1,-1,-8,2,0,-2,Left
262,-2,-3,-1,-4,-10,-9,4,-1,Left
262,-2,-2,0,-3,2,-13,-2,0,Left
277,-3,0,2,9,8,32,-1,-1,Left
292,-1,0,0,3,10,-15,0,0,Left
295,-3,-1,-3,-14,-25,-1,-5,-3,Left
295,-1,0,-1,-5,-11,-31,0,0,Left
295,-2,-2,-4,-7,4,17,0,-3,Left
309,1,-1,-2,0,-4,-14,-3,1,Left
309,-2,-1,-1,0,5,37,2,1,Left
309,0,-2,1,1,7,-16,-3,-2,Left
309,-2,-2,0,-2,-5,-10,-8,-1,Left
325,1,-2,-1,1,-9,9,4,-2,Left
325,-1,-1,-1,0,11,10,5,2,Left
325,0,0,-3,-2,-9,3,-2,-3,Left
325,0,-1,0,-7,-2,8,3,0,Left
341,1,0,3,6,-8,-43,-1,2,Left
356,-2,-1,-1,4,14,24,2,-1,Left
357,-3,-3,-6,-8,-9,-9,3,0,Left
357,-3,-3,-3,-4,6,20,-2,-5,Left
357,1,-1,-5,-6,2,7,-2,1,Left
369,-4,-2,-3,1,5,3,-5,-5,Left
371,0,1,2,5,-10,-3,-1,0,Left
372,3,0,-1,3,5,-18,4,5,Left
388,-2,0,-1,-1,12,21,-1,0,Left
388,-1,-2,-1,2,2,-11,0,-5,Left
388,-4,-4,-4,-6,-1,-1,-12,-7,Left
388,2,1,2,-1,-5,-29,3,3,Left
419,0,0,1,5,1,-10,-2,1,Left
422,-2,-2,-1,-6,-12,-9,-1,0,Left
423,-1,-1,0,1,3,6,4,0,Left
423,-3,-1,-3,0,4,-3,-8,-6,Left
423,-2,-2,0,0,-7,-1,-2,-3,Left
423,-2,-1,0,-1,3,5,-6,-3,Left
423,3,2,3,1,-13,-15,5,5,Left
423,-5,-4,-3,-5,3,13,-1,-5,Left
